Database???Annual
Year£ºLATEST20
Indicators,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Total Value of Imports Asia(USD 10000),,148681298,148388834,115700939,114658230,119298429,103018441,90579344,95430936,108509736,108993821,103829337,100408463,83495623,60352046,70258614,61992655,52536718,44147945,36941949
Total Value of Imports Afghanistan(USD 10000),,4202,4953,5451,2928,2408,343,453,1177,1737,960,519,440,368,138,269,238,19,151,95
Total Value of Imports Bahrain(USD 10000),,25125,39969,14631,19533,15013,12395,6372,11154,18396,30518,34803,32584,25191,21123,13132,10245,6482,6894,9240
Total Value of Imports Bangladesh(USD 10000),,98173,104693,79975,103653,98442,87515,86940,81685,76111,60237,47992,44864,26888,14034,13191,11417,9884,7860,5701
Total Value of Imports Bhutan(USD 10000),,285,1,3,5,1,18,13,35,10,1,1,8,1,5,,,,0,17
Total Value of Imports Brunei(USD 10000),,224862,222548,147599,45288,24751,35181,22155,10116,18972,8980,37310,56682,66433,28199,8888,24608,21531,20773,25106
Total Value of Imports Myanmar(USD 10000),,1149475,812208,634680,638806,468434,452635,409771,544930,1560128,285687,129823,167990,96655,64613,64755,37814,25265,27440,20694
Total Value of Imports Cambodia(USD 10000),,183820,210043,149749,144432,137666,100758,83051,66660,48291,36364,21532,18430,9363,3689,3883,5107,3509,2731,2993
Total Value of Imports Cyprus(USD 10000),,3374,2887,2517,5528,5399,5334,4779,4991,6258,5280,14451,2626,1721,1543,1059,802,299,284,169
Total Value of Imports Korea DPR(USD 10000),,13368,5807,4795,21524,21315,173099,257246,256769,286793,292750,250376,247677,119454,79255,76041,58384,46776,49914,58566
Total Value of Imports Hong Kong China(USD 10000),,775136,969823,698278,906716,850237,731718,1670067,1274581,1262137,1620658,1788037,1549243,1226042,870250,1291585,1280420,1077976,1222478,1179672
Total Value of Imports India(USD 10000),,1748614,2814551,2097731,1798588,1883335,1634537,1176413,1336855,1635869,1697025,1879582,2337115,2084625,1372728,2025889,1461710,1027745,976622,767803
Total Value of Imports Indonesia(USD 10000),,7789081,6392283,3748185,3411387,3414978,2857431,2141404,1988619,2448525,3142426,3195070,3133738,2079672,1366823,1432293,1239508,960574,843696,721567
Total Value of Imports Iran(USD 10000),,635370,650253,644156,1344563,2110228,1855369,1482719,1605745,2750385,2538986,2486839,3034131,1829908,1329997,1959420,1330560,995846,678668,449069
Total Value of Imports Iraq(USD 10000),,3939520,2665311,1930376,2392734,2249527,1381411,1066327,1267463,2076124,1798476,1265577,1044363,627519,330960,138166,76580,65327,41568,32025
Total Value of Imports Israel(USD 10000),,896500,753454,628560,515419,464116,420624,317290,280203,314064,318132,292232,303770,260739,152574,179282,165394,131441,107354,94286
Total Value of Imports Japan(USD 10000),,18439457,20550277,17466136,17176870,18066054,16579401,14567069,14290257,16292051,16224540,17783395,19456352,17673610,13091490,15060004,13394237,11567258,10040768,9432673
Total Value of Imports Jordan(USD 10000),,74587,42471,42573,43406,21418,27919,21116,28752,26320,16988,29710,25672,16471,11226,12318,8207,5323,7887,8849
Total Value of Imports Kuwait(USD 10000),,2649899,1775554,1073510,1344747,1534387,893495,637028,749707,1000496,958664,1046781,917520,670836,350069,503881,229062,192400,102050,76406
Total Value of Imports Laos(USD 10000),,335127,267570,208829,215700,201815,160500,135961,154734,177788,101008,78663,82461,60149,37463,13426,8592,4965,2555,1265
Total Value of Imports Lebanon(USD 10000),,6404,4793,3180,2601,4898,2304,1767,1732,2539,4558,2033,2592,2728,898,1327,1862,860,419,970
Total Value of Imports Macao China(USD 10000),,7935,8162,6314,6708,6409,10400,14034,18536,21241,38712,27918,16227,12355,24620,30585,28038,25704,26454,21588
