2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,Edited 2022
,,,,,,,,,,,
"Table 1. Land, agricultural land and forest land areas",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
End of Year,,"Land area
(Km2)",Cultivated land (Ha.),,,,,,,"Forest land area
 (Ha.)",
,,,Grand total,Paddy field,,,,,Upland field,,
,,,,"Total
",Double-cropping,Single-cropping,,,,,
,,,,,,Sub-total,1st Crop,2nd Crop,,,
1962,,36140.27,871858,530354,331765,198589,14922,183667,341504,2131267,
1981,,36179.12,900062,502822,354036,148786,11906,136880,397240,1865141,
1991,,36181.87,884443,472759,333448,139311,10182,129129,411684,1865141,
2001,,36188.04,848743,438974,315544,123430,7239,116191,409769,2101719,
,,,,,,,,,,,
End of Year & District,,"Land area
(Km2)",Agricultural land area (Ha.),,,,,,,,"Forest land area
(Ha.)"
,,,Grand total,     Cropland,,,,,,Fallow,
,,,,"Total
",  Short-term cropland,,,,Permanent  cropland,,
,,,,,Sub-total,Rice,"Temporary crops, excluding rice",Short-term fallow,,,
2011,,36192.8155,808293.811,755355,479332,153405,119314,206613,276022,52939,2101719
,,,,,,,,,,,
2012,,36192.8155,802876.021,752108,482915,156662,120151,206102,269193,50768,2101719
2013,,36192.82,799829.78,751151,485622,162869,106286,216467,265529,48679,2101719
2014,,36192.82,799611,748613,484594,166602,96503,221489,264019,50999,2101719
2015,,36197.0669,796618.46,746576.31,481823.85,146597.3,98639.33,236587.22,264752.46,50042.15, 2 197 090
2016,,36197.0669,794004.61,745626.57,479264.19,168871.57,80314.92,230077.7,266362.38,48378.04, 2 197 090
2017,,36197.0669,793026.74,745517.7,480751.09,169818.78,78580.77,232351.54,264766.61,47509.04,2197090
2018,,36197.0669,790680.16,743878.74,478723.82,169789.24,80626.12,228308.46,265154.92,46801.42,2197090
2019,,36197.0669,790196.76,742161.95,477840.24,169740.12,75808.06,232292.06,264321.71,48034.81,2 197 090
2020,,36197.0669,790078.56,740442.59,479185.72,159890.91,78431.87,240862.94,261256.87,49635.97,2200153.3095055
2021,,36197.0669,787025.67,734634.36,476360.07,127374.56,88366.85,260618.66,258274.29,52391.31,2200153.3095055
Taiwan Area ,,,,,,,,,,,
New Taipei City ,,2052.5667,23575.04,16654.5,11454.01,103.53,1386.34,9964.14,5200.49,6920.54,154245
Taipei City ,,271.7997,3233.38,2777.16,2068.44,226.58,271.79,1570.07,708.72,456.22,11398
Taoyuan City ,,1220.954,31384.68,30377,27138.93,3794.02,5160.82,18184.09,3238.07,1007.68,44141
Taichung City ,,2214.8968,47594.69,46033.36,23748.16,5860.66,4034.09,13853.41,22285.2,1561.33,114968
Tainan City ,,2191.6531,91539.8,86485.74,54825.22,5063.35,17454.83,32307.04,31660.52,5054.06,55065
Kaohsiung City ,,2951.8524,47241.66,46148.58,25230.12,4839.43,3684.35,16706.34,20918.46,1093.08,172088
Yilan County,,2143.6251,26220.68,24520.17,22002.11,11276.82,2307.18,8418.11,2518.06,1700.51,167823
Hsinchu County,,1427.5369,27476.64,24851.84,20402.05,2597.85,1346.13,16458.07,4449.79,2624.8,102028
Miaoli County,,1820.3149,33189.33,29650.04,19997.86,3456.39,4167.61,12373.86,9652.18,3539.29,131994
Changhua County,,1074.396,60990.16,58346.9,43717.92,27035.59,4491.35,12190.98,14628.98,2643.26,9269.0799385
Nantou County,,4106.436,65085.41,59034.09,22684.82,2055.53,3790.25,16839.04,36349.27,6051.32,302460
Yunlin County,,1290.8326,79678.2,78426.05,63372.92,28704.03,16561.06,18107.83,15053.13,1252.15,10944
Chiayi County,,1903.6367,73023.51,72644.33,41111.92,10084.35,12019.38,19008.19,31532.41,379.18,83711
Pingtung County,,2775.6003,70967.36,68836.78,32779.36,5791.72,6228.76,20758.88,36057.42,2130.58,163352
Taitung County,,3515.2526,47749.68,39847.11,26892.84,6550.15,1323.89,19018.8,12954.27,7902.57,294541
Hualien County,,4628.5714,45700.82,42125.59,32411.51,9147.49,3651.22,19612.8,9714.08,3575.23,359288
Penghu County,,126.8641,5610.35,1426.04,943.79,0,319.15,624.64,482.25,4184.31,4474
Keelung City ,,132.7589,739.05,723.82,536.49,0,10.73,525.76,187.33,15.23,8893.029567
Hsinchu City ,,104.1526,2221.14,2087.41,1951.56,132.98,75.27,1743.31,135.85,133.73,2453
Chiayi City ,,60.0256,1791.38,1625.14,1089.17,654.09,54.45,380.63,535.97,166.24,438
Kinmen & Lienchiang Area,,,,,,,,,,,
Kinmen County,,151.656,2012.71,2012.71,2000.87,0,28.2,1972.67,11.84,0,5309.2
Lienchiang County,,28.8,0,0,0,0,0,0,0,0,1271
,,,,,,,,,,,
,,,,,,,,,,,
Source: 1. Ministry of the Interior ,,,,,,,,,,,
"　　　   2. Agriculture and Food Agency, COA, Executive Yuan ",,,,,,,,,,,
"　　　   3. Forestry Bureau, COA, Executive Yuan",,,,,,,,,,,
