LAND AND CLIMATE ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 2. The mean temperature,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,oC
Year,,"Kee-
lung","Dan-
shuei",Taipei,"Hsin-
 chu",Yilan,"Tai-
chung","Hua-
lien","Sun
Moon
Lake","Ali-
shan","Kao-
hsiung","Heng-
chun"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
1952,,22.4,22.5,22.4,22.1,22.3,23.1,23.2,19.9,11.3,24.5,25.6
1981,,22.141667,22.516667,22.466667,22.241667,22.266667,22.833333,23.083333,19.141667,10.9,24.983333,25.191667
1991,,22.641667,22.258333,23.5,22.533333,22.325,23.508333,23.533333,19.416667,11.133333,25.308333,25.125
2001,,23,22.3,23.3,22.7,22.8,23.6,23.7,19.2,11.5,25.1,25.2
2011,,22.2,21.6,22.7,22.3,22.1,23.5,23.1,18.9,11,24.9,24.7
,,,,,,,,,,,,
2012,,22.6,22.1,23.2,22.7,22.6,23.6,23.3,19.2,11.5,25.4,25.5
2013,,22.7,22.7,23.4,22.9,22.7,23.6,23.5,19.4,11.5,25.5,25.6
2014,,22.8,22.8,23.5,23.1,22.6,23.8,23.5,19.4,11.5,25.6,25.6
2015,,23,23.1,23.8,23.3,23,24.3,23.9,19.6,12,26.1,26.1
2016,,23.3,23,24,23.5,23.3,24.2,24.2,19.6,12.2,25.9,26.3
2017,,23.2,23.2,23.9,23.5,23.3,24.2,24.1,19.6,12.3,26.3,26.3
2018,,23.2,23,23.9,23.4,23.4,24.2,24,19.5,11.7,25.9,25.8
2019,,23.3,23.2,24.1,23.7,23.6,24.4,24.4,19.8,11.3,26.3,25.9
2020,,23.5,23.2,24.2,23.8,23.5,24.5,24.4,20,11.4,26.4,26
2021,,23.3,23.2,24.1,23.6,23.1,24.2,23.9,19.6,11.3,25.5,25.5
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Central Weather  Bureau,,,,,,,,,,,,
