POPULATION AND HOUSING,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,7
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 4. Number and rates of births, deaths, immigrants and emigrants, marriages and divorces",,,,,,,,,
,,,,,,,,,
,,,,,,,,,Persons
 Year & District,,Births,,,,Deaths,,,
,,,,,,,,,
,,No. of births,Male,Female,Crude birth rates (0/00),No. of deaths,Male (1),Female (1),Crude death rates (0/00)
,,,,,,,,,
1966,,415108,213328,201780,32.40359092937071,69778,39379,30399,5.446914460500952
1981,,414069,213948,200121,22.965580968566165,87192,52627,34221,4.835945061840468
1991,,321932,168865,153067,15.701267213589363,106284,65386,40898,5.183683152122597
2001,,260354,135596,124758,11.65357869256331,127647,79319,48328,5.713545247507734
2011,,196627,101943,94684,8.477670538761531,152915,93810,59105,6.593005998335526
 ,,,,,,,,,
2012,,229481,118848,110633,9.861511853250962,154251,93618,60633,6.628644919953347
2013,,199113,103120,95993,8.529270461507284,155908,94505,61403,6.6785267617517565
2014,,210383,108817,101566,8.989330076289432,163929,98733,65196,7.004424740002995
2015,,213598,111041,102557,9.103643501051138,163858,98580,65278,6.983702173219025
2016,,208440,108133,100307,8.863773069719292,172405,103144,69261,7.331408540035282
2017,,193844,100477,93367,8.229238312554447,171242,101555,69687,7.2697180573989835
2018,,181601,93876,87725,7.701458343259615,172784,101931,70853,7.327541028858703
2019,,177767,92237,85530,7.53,176296,103720,72576,7.47
2020,,165249,85704,79545,7.01,173156,101468,71688,7.34
2021,,153820,79513,74307,6.55,183732,106877,76855,7.83
Taiwan Area ,,,,,,,,,
New Taipei City ,,24228,12502,11726,6.03,27064,15840,11224,6.73
Taipei City ,,16695,8624,8071,6.51,18623,10370,8253,7.26
Taoyuan City ,,20210,10458,9752,8.9,14158,8562,5596,6.24
Taichung City ,,18304,9440,8864,6.5,18446,10758,7688,6.55
Tainan City ,,9634,5076,4558,5.16,15919,9091,6828,8.52
Kaohsiung City ,,18052,9333,8719,6.55,22926,13576,9350,8.32
Yilan County,,2820,1496,1324,6.24,4139,2386,1753,9.16
Hsinchu County,,4220,2090,2130,7.36,3960,2311,1649,6.91
Miaoli County,,2652,1363,1289,4.91,5356,3167,2189,9.91
Changhua County,,11388,5863,5525,9.03,10849,6137,4712,8.6
Nantou County,,2839,1495,1344,5.82,5107,2971,2136,10.47
Yunlin County,,3830,1983,1847,5.69,7336,4233,3103,10.89
Chiayi County,,2665,1377,1288,5.37,5772,3340,2432,11.63
Pingtung County,,4158,2149,2009,5.14,8577,5051,3526,10.61
Taitung County,,1316,709,607,6.14,2406,1452,954,11.23
Hualien County,,2116,1056,1060,6.55,3229,1935,1294,10
Penghu County,,907,480,427,8.54,991,584,407,9.34
Keelung City ,,1820,956,864,4.98,3245,1938,1307,8.87
Hsinchu City ,,3451,1756,1695,7.63,2740,1529,1211,6.06
Chiayi City ,,1373,703,670,5.17,2073,1164,909,7.81
Kinmen & Lienchiang Area,,,,,,,,,
Kinmen County,,1029,542,487,7.29,747,439,308,5.3
Lienchiang County,,113,62,51,8.39,69,43,26,5.13
,,,,,,,,,
,,,,,,,,,
Note: Data do not include Kinmen County and Lienchiang County before 1980.　　,,,,,,,,,
　　(1) Data do not include Kinmen County and Lienchiang County in 1981.,,,,,,,,,
Source: Ministry of the Interior ,,,,,,,,,
