POPULATION AND HOUSING  ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Table 5. Fertility rates of childbearing age women,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,‰
Year & District,,General fertility rates,Total fertility rates, Age-specific fertility rates,,,,,,
,,,,,,,,,,
,,,,15-19 ,20-24 ,25-29  ,30-34 ,35-39 ,40-44 ,45-49 
,,,,,,,,,,
1951,,211,7040,68,267,350,311,226,132,34
1981,,89,2455,31,176,197,69,14,3,1
1991,,58,1720,17,92,149,68,16,2,0.001
2001,,41,1400,13,62,106,75,21,3,0.001
2011,,32,1065,4,23,66,81,34,5,0.15208
 ,,,,,,,,,,
2012,,38,1270,4,26,79,97,42,6,0.16787
2013,,32,1065,4,22,62,80,39,6,0.23092
2014,,34,1165,4,22,67,90,43,7,0.26259
2015,,35,1175,4,22,66,91,45,7,0.11
2016,,34,1170,4,22,63,90,47,8,0.37298
2017,,33,1125,4,21,59,85,47,9,0.40997
2018,,31,1060,4,20,55,80,44,9,0.4681
2019,,30,1050,4,20,53,79,44,9,1
2020,,28,990,4,19,48,74,43,9,1
2021,,28,975,3,18,47,74,43,9,1
Taiwan Area ,,,,,,,,,,
New Taipei City ,,25,885,2,14,39,68,43,10,1
Taipei City ,,29,960,1,8,34,78,56,14,1
Taoyuan City ,,35,1220,4,23,63,93,49,11,1
Taichung City ,,26,915,3,16,46,70,39,9,0.44243
Tainan City ,,22,780,2,14,37,59,36,7,1
Kaohsiung City ,,28,985,3,18,47,75,44,9,1
Yilan County,,28,965,6,25,53,68,33,8,0.24146
Hsinchu County,,30,1100,5,20,50,89,46,9,1
Miaoli County,,22,765,4,21,43,53,26,6,0.3762
Changhua County,,39,1330,4,27,74,101,50,9,1
Nantou County,,27,940,8,28,51,63,30,8,0.3027
Yunlin County,,26,940,4,27,55,63,32,7,0.33946
Chiayi County,,25,905,5,22,53,62,34,5,0.29073
Pingtung County,,23,815,6,24,46,52,28,7,0.20693
Taitung County,,28,1005,7,30,51,63,40,9,1
Hualien County,,30,1060,10,34,55,66,38,9,-
Penghu County,,37,1250,2,24,70,86,55,13,0.26164
Keelung City ,,22,785,3,15,37,59,36,7,0.35704
Hsinchu City ,,31,1130,2,16,53,93,51,10,1
Chiayi City ,,22,790,4,15,38,59,34,7,1
Kinmen & Lienchiang Area,,,,,,,,,,
Kinmen County,,30,995,3,15,41,77,50,11,2
Lienchiang County,,41,1290,-,15,84,77,66,16,-
,,,,,,,,,,
,,,,,,,,,,
Source: Ministry of the Interior ,,,,,,,,,,
