10,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,,,,
Table 6. Life expectancy and death rates by 5-year age group,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,‰
Year,,"Life expectancy (1)
 (Years)",,"Infant mortality rates 
(2)",,"Maternal mortality rates 
(3)",,All ages,,,0,,,1-4,,
,,,,,,,,,,,,,,,,
,,Male,Female,,,,,"Both
sexes",Male,Female,"Both
sexes",Male,Female,"Both
sexes",Male,Female
,,,,,,,,,,,,,,,,
1951,,53.1,57.32,-,,-,,11.57,11.75,11.39,40.42,42.72,38.04,24.89,23.36,26.48
1981,,69.74,74.64,-,,-,,4.85,5.63,4,10.05,10.63,9.42,1.28,1.45,1.1
1991,,71.83,77.14,5.05955353575709,,8.115,,5.17,6.15,4.12,5.39,5.69,5.07,0.74,0.84,0.64
2001,,74.07,79.92,6.0457757129672,,6.980369649352764,,5.72,6.96,4.43,6.33,6.85,5.76,0.46,0.53,0.38
2011,,75.963487361,82.633076418,4.234920978176641,4.194647790751608,5.0416439793,,6.61,8.07,5.13,5.05,5.3,4.79,0.3,0.31,0.28
 ,,,,,,,,,,,,,,,,
2012,,76.43,82.82,3.6658297776205355,3.6658297776205355,8.5251855294,,6.67,8.08,5.25,4.43,4.89,3.93,0.28,0.29,0.27
2013,,76.914790012,83.362394706,3.9345641457071188,3.9345641457071188,9.233658,,6.67,8.08,5.26,3.91,4.21,3.58,0.21,0.23,0.19
2014,,76.72,83.19,3.59983,3.59983,6.62254788338639,6.622547883386392,6.98,8.42,5.54,4.01,4.57,3.42,0.22,0.23,0.21
2015,,77.01,83.62,4.12,,11.7,,6.98,8.42,5.55,4.44,4.74,4.11,0.22,0.25,0.18
2016,,76.81,83.42,3.9,,11.6,,7.35,8.82,5.89,4.12,4.31,3.91,0.21,0.23,0.18
2017,,77.28,83.7,3.967,,9.763,,7.3,8.7,5.92,4.09,4.2,3.96,0.17,0.17,0.16
2018,,77.547432542,84.048176259,4.1626,,12.1778,,7.32,8.7,5.96,4.26,4.55,3.95,0.2,0.21,0.2
2019,,77.6873716501966,84.2306965927176,3.83,,15.993,,7.44,8.81,6.09,3.98,4.32,3.62,0.18,0.21,0.16
2020,,78.1121584755909,84.7460371961009,3.6332523,,13.020187,,7.3429177176545055,8.684478243507238,6.024282284691713,3.6127034449707853,3.954394231793803,3.244099315418412,0.1688260748699214,0.17889219172341797,0.1580086694089949
2021,,…,…,4.1,,14,,7.859844833077846,9.23196864056804,6.512727025841147,4.265783071233359,4.585768998185849,3.9222581386856383,0.17515305682504095,0.2003001901551156,0.14813365568707465
,,,,,,,,,,,,,,,,
Year,,5-9,,,,,,10-14,,,15-19,,,20-24,,
,,,,,,,,,,,,,,,,
,,Both sexes,,Male,,Female,女,"Both
sexes",Male,Female,"Both
sexes",Male,Female,"Both
sexes",Male,Female
,,,,,,,,,,,,,,,,
1951,,3.35,,3.42,,3.27,,2.02,2.21,1.82,2.09,2.17,2,3.39,3.53,3.26
1981,,0.45,,0.58,,0.32,,0.46,0.57,0.33,0.95,1.33,0.54,1.23,1.71,0.74
1991,,0.33,,0.39,,0.27,,0.34,0.41,0.26,0.91,1.3,0.49,1.08,1.55,0.58
2001,,0.2,,0.23,,0.17,,0.21,0.25,0.17,0.6,0.8,0.39,0.73,1.01,0.43
2011,,0.13,,0.15,,0.11,,0.15,0.17,0.12,0.37,0.5,0.24,0.53,0.73,0.3
 ,,,,,,,,,,,,,,,,
2012,,0.15,,0.14,,0.15,,0.15,0.17,0.12,0.36,0.48,0.22,0.49,0.63,0.33
2013,,0.15,,0.14,,0.15,,0.16,0.17,0.14,0.34,0.47,0.21,0.45,0.61,0.28
2014,,0.15,,0.15,,0.15,,0.14,0.16,0.12,0.33,0.45,0.21,0.44,0.61,0.24
2015,,0.1,,0.12,,0.08,,0.12,0.15,0.1,0.35,0.48,0.2,0.45,0.61,0.27
2016,,0.13,,0.14,,0.12,,0.14,0.16,0.11,0.34,0.48,0.2,0.46,0.66,0.26
2017,,0.11,,0.11,,0.1,,0.15,0.17,0.12,0.34,0.45,0.22,0.44,0.6,0.27
2018,,0.1,,0.11,,0.1,,0.14,0.18,0.1,0.31,0.42,0.19,0.43,0.59,0.25
2019,,0.1,,0.11,,0.09,,0.12,0.11,0.13,0.37,0.5,0.24,0.46,0.62,0.28
2020,,0.08639,,0.09263,,0.07968,,0.11562809179462842,0.13098712281005906,0.09885725223112406,0.3570589305005551,0.4849645101381433,0.21725113014037897,0.46992543672490555,0.6215231152887013,0.30586372594610156
2021,,0.08,,0.08,,0.09,,0.13549476793676635,0.13678426148393083,0.1340879746876507,0.35610258596192096,0.47242595827697076,0.2287827270901069,0.5226729067737861,0.6727012311354038,0.3599074523693907
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Note: The data of death rates do not include Kinmen County and Lienchiang County before 1983, and they are calculated by the date of death of occurrence ",,,,,,,,,,,,,,,,
　　   after 1973. ,,,,,,,,,,,,,,,,
　　(1) Data do not include Kinmen County and Lienchiang County before 1992.,,,,,,,,,,,,,,,,
"　　(2) It's per 1,000 live births. ",,,,,,,,,,,,,,,,
"　　(3) It's per 100,000 live births. ",,,,,,,,,,,,,,,,
Source: 1. Ministry of the Interior,,,,,,,,,,,,,,,,
　　　　2. Ministry of Health and Welfare,,,,,,,,,,,,,,,,
