16,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,Edited 2022
,,,,,,,,,,,
Table 8. Employed persons by industry,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,"1,000 Persons"
Year & District,,Total,"Agriculture, forestry, fishing & animal husbandry",Goods-producing industries,,,,,Services-providing industries,,
,,,,Mining & quarrying,Manufac-turing,Electricity & gas supply,Water supply & remediation activities,Construc-tion,Wholesale & retail trade,Accommo-dation & food service activities,Transporta-tion & storage
,,,,,,,,,,,
,,,,,,,,,,,
Ave. 1978,,6231.315,1552.789,60.041,1915.729,25.126,-,458.617,940.574,-,303.525
Ave. 1981,,6672.038,1256.793,53.849,2161.945,29.296,-,583.05,1106.406,-,341.836
Ave. 1991,,8439.047,1092.546,19.327,2598.43,36.754,-,715.455,1711.617,-,448.028
Ave. 2001,,9382.54,705.745,10.23,2594.046,28.469,53.964,745.019,1679.192,531.553,421.444
Ave. 2011,,10708.808,542.033,4.016,2949.044,29.163,78.754,830.533,1763.446,727.843,410.61
 ,,,,,,,,,,,
Ave. 2012,,10859.924,544.147,4.085,2974.715,29.194,82.36,844.726,1800.388,749.815,414.352
Ave. 2013,,10967.165,543.76,3.97,2987.927,29.007,83.575,860.742,1817.482,775.246,425.087
Ave. 2014,,11078.687,548.106,3.879,3007.198,29.1,82.439,881.472,1825.171,792.179,432.544
Ave. 2015,,11197.8,554.583,4.066,3023.791,29.834,81.972,895.023,1841.897,812.818,437.225
Ave. 2016,,11267.199,557.331,3.931,3028.01,30.138,82.061,898.944,1852.988,826.05,439.782
Ave. 2017,,11351.718,557,4,3045,30,82,901,1875,832,443
Ave. 2018,,11434.115,561,4,3064,30,81,904,1901,838,446
Ave. 2019,,11500,559,4,3066,31,84,907,1915,848,450
Ave. 2020,,11504,548,4,3041,32,85,915,1899,854,455
Ave. 2021,,11447,542,4,3020,33,84,918,1878,839,460
Taiwan Area ,,,,,,,,,,,
New Taipei City ,,1985,9,0,451,4,14,171,389,157,98
Taipei City ,,1236,2,0,157,16,8,56,261,69,52
Taoyuan City ,,1124,12,0,388,0,8,84,170,78,72
Taichung City ,,1389,41,0,411,2,10,101,234,102,47
Tainan City ,,941,63,0,330,1,6,80,123,67,24
Kaohsiung City ,,1350,45,0,379,5,11,111,214,109,53
Yilan County,,224,12,0,44,1,2,29,37,21,8
Hsinchu County,,274,6,0,115,0,2,21,28,20,9
Miaoli County,,264,16,0,102,0,3,21,32,17,8
Changhua County,,624,65,0,236,0,4,45,80,34,17
Nantou County,,241,44,1,50,0,1,18,35,19,6
Yunlin County,,337,69,0,75,0,4,37,45,24,8
Chiayi County,,253,58,-,54,0,1,22,39,15,6
Pingtung County,,405,63,1,73,0,3,50,59,36,11
Taitung County,,103,21,0,6,0,1,12,17,12,3
Hualien County,,147,8,0,14,0,2,16,25,17,7
Penghu County,,45,3,-,3,0,1,6,7,5,2
Keelung City ,,173,1,-,33,1,2,15,29,14,20
Hsinchu City ,,211,1,0,73,0,1,16,31,14,6
Chiayi City ,,122,2,0,26,1,1,8,23,8,3
Kinmen & Lienchiang Area,,,,,,,,,,,
Kinmen County,,27.84,0.785,0,2.259,0.332,0.983,3.073,3.684,3.202,1.299
Lienchiang County,,4.199,0.055,0,0.114,0.15,0.124,0.373,0.294,0.388,0.333
,,,,,,,,,,,
,,,,,,,,,,,
Note: 1. The figures of the annual average do not include Kinmen County and Lienchiang County.,,,,,,,,,,,
　　   2. The data in the table are based on the tenth revised Standard Industrial Classification System from 2017.,,,,,,,,,,,
"Source: 1. Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,,,
　　　　2. Kinmen County Government,,,,,,,,,,,
　　　　3. Lienchiang County Government,,,,,,,,,,,
