18,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,STATISTICAL  YEARBOOK OF
,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,Edited 2022
,,,,,,,,,,
Table 9. Unemployment rates by educational attainment and age,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, %
Year & District,,Both sexes ,Male,Female,Educational attainment,,,,,
,,,,,,,,,,
,,,,,Primary school & below,Junior high school,"Senior high school
(regular & vocational)",Junior college,University,Graduate school
,,,,,,,,,,
Ave. 1978,,1.67,1.57,1.86,0.6439553904088879,2.2802312769855537,3.7241560994391727,3.7471780018438263,2.54,
Ave. 1981,,1.36,1.21,1.65,0.46307205031560106,1.6868252181060865,2.2549199094082533,2.5672143390589994,1.86,
Ave. 1991,,1.51,1.5,1.53,0.5606793451565741,1.6111164905291506,2.115120987861821,2.226123328629939,1.8,
Ave. 2001,,4.57,3.36,2.44,3.5604287372431167,5.750108749621024,4.861310327487725,4.028208155343716,3.32,
Ave. 2011,,4.39,4.71,3.96,2.5211668323449765,4.437055260056346,4.66,3.4010558838847245,5.79,2.97
 ,,,,,,,,,,
Ave. 2012,,4.24,4.49,3.92,2.319740703042721,4.2746167771079335,4.22,3.179902498880373,5.9,3.49
Ave. 2013,,4.18,4.47,3.8,2.286707782779896,4.2901347292530705,4.11,3.11178714237154,5.81,3.29
Ave. 2014,,3.96,4.27,3.56,2.0393526963308086,3.86752566941816,3.83,3.0906329798855223,5.58,2.97
Ave. 2015,,3.78,4.05,3.44,1.8438880706921945,3.2853624670393966,3.83,2.7522738049053834,5.34,2.94
Ave. 2016,,3.92,4.19,3.57,2.3094389729901086,3.516982091069453,3.9,2.9088705237724732,5.38,3
Ave. 2017,,3.76,4,3.45,2.1986723220667614,3.2722321243460355,3.74,2.772686152454391,5.19,2.82
Ave. 2018,,3.71,3.89,3.48,2.39,3.246477540716538,3.6,2.7,5.12,2.91
Ave. 2019,,3.73,3.85,3.58,2.3,3.15,3.51,2.69,5.3,2.93
Ave. 2020,,3.85,3.92,3.76,1.99,3.25,3.56,2.78,5.48,3.1
Ave. 2021,,3.95,3.98,3.92,2.03,3.39,3.77,2.83,5.49,2.93
Taiwan Area ,,,,,,,,,,
New Taipei City ,,4,4.3,3.8,5.9,4.4,3.9,3,5,2.6
Taipei City ,,4,4.3,3.8,1.4,3.7,3.6,2.8,5.1,2.4
Taoyuan City ,,4,4,4,0.8,3.6,3.6,2.4,6.2,2.9
Taichung City ,,3.9,4,3.9,1.7,1.8,4.2,3,5.3,2.5
Tainan City ,,3.9,3.9,3.8,1.2,3.7,3.3,4.4,5.2,4.5
Kaohsiung City ,,3.9,3.6,4.3,2.3,4.3,4,2.6,5.1,2.1
Yilan County,,4,4,4.1,2.4,4.4,2.9,4.5,6,1.9
Hsinchu County,,3.8,4.1,3.4,-,0.7,1.8,1.1,8.3,5.9
Miaoli County,,3.9,3.9,3.8,1.5,2.4,3.9,3.3,5.4,2.2
Changhua County,,3.8,3.7,4,1.7,2.1,3.8,2.9,6.6,3.4
Nantou County,,3.9,3.4,4.7,1,3.2,3.8,2.7,5.9,6.7
Yunlin County,,3.8,3.7,4,0.8,3.5,3.6,1.3,7.4,4.8
Chiayi County,,3.9,4.1,3.7,0.4,3.7,4.8,3.1,5.8,6.1
Pingtung County,,3.9,3.8,4.1,2.3,2.1,3.5,2,9.2,2
Taitung County,,3.8,4,3.5,2.6,3.4,4.4,2.9,5.4,0.7
Hualien County,,3.8,4.1,3.4,9.1,6.5,3.3,1.9,3.9,0.9
Penghu County,,4.1,3.2,5.3,1.3,1.2,6.2,0.9,4.8,3.6
Keelung City ,,4,4.3,3.5,13.1,2.3,2.4,2.3,6,4.9
Hsinchu City ,,3.8,3.8,3.9,-,3.6,5.1,2.4,3.8,3.2
Chiayi City ,,4,3.8,4.2,0.4,3.5,3.4,3,5.4,2.8
Kinmen & Lienchiang Area,,,,,,,,,,
Kinmen County,,3.1,2.5,4,2.9,,2.7,0.6,4,
Lienchiang County,,0.4,0.3,0.5,0.4,,0.5,-,0.4,
,,,,,,,,,,
,,,,,,,,,,
Note: The figures of the annual average do not include Kinmen County and Lienchiang County.,,,,,,,,,,
"Source: 1. Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,,
　　　　2. Kinmen County Government,,,,,,,,,,
　　　　3. Lienchiang County Government,,,,,,,,,,
