"EDUCATION, SCIENCE AND TECHNOLOGY, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,23
CULTURE AND MASS COMMUNICATION,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 12. Expenditure situation on education,,,,,,,,,,,,,
Ⅰ. Educational expenditure,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fiscal Year,,Total educational expenditure,,,,,,Government's educational expenditure,,,,,
,,,,,,,,,,,,,
,,Amount ,,,As a % of GNI (％),,,Amount ,,Per capita ,,As a % of gov. exp.,
,,(Thousand NT$),,,,Public,Private,(Thousand NT$),,(NT$),,(％),
1951,,213082,,,1.69,1.69,-,213082,,28,,9.93,
1981,,74112578,,,4.4452095251690515,3.614473029175059,0.8307364959939925,60262157,,3312,,14.71,14.71
1991,,300965051,,,6.203739434124405,5.10142807701528,1.1023113571091256,247488080,,12011,,17.77,17.77
2001,,590444164,,,5.727678048798505,4.26258386008466,1.4650941887138456,406886944,,18160,,17.91,
2011,,784518065.1964991,,,5.360814592699874,4.124476574121344,1.2363380185785298,537799401,,23156,,20.58,
 ,,,,,,,,,,,,,
2012,,817856781.6477218,,,5.412703069968406,4.115102033871585,1.2976010360968195,548815737,,23538,,20.49,
2013,,832633477.7543371,,,5.312455514946356,3.967488635483734,1.344966879462622,553419602.413,,23677,,20.76,
2014,,843545863.5311053,,,5.052034404017555,3.7862263745278235,1.2658080294897318,564144138,,24074,,21.32,
2015,,856766170.6568906,,,4.897278391585738,3.674157308187643,1.223121083398095,575286556,,24489,,21.75,
2016,,873281647.518539,,,4.84983789670966,3.6485479808883605,1.2012899158212995,590263123,,25075,,21.5,
2017,,886970355,,,4.812459483379586,3.6347791685484903,1.1776803148310961,601521133.863,,25519,,21.65,
2018,,907010190,,,4.827135359391091,3.65216529713984,1.1749700622512518,614799693,,26063,,21.61,
2019,,911899756,,,4.704204096584419,3.567495906454047,1.1367081849716865,615245161.462,,26066,,21.13,
2020,,943197969,,,4.630229657332814,3.5717632700645194,1.058466387268294,648450490,,27522,,20,
2021,,978069341,,,4.411752910997932,3.4487948807086597,0.9629580302892727,680341435,,29105,,20.25,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: 1. From FY 2000, the government's educational expenditure to public sector was calculated in accordance with the scope of ""The Compilation and ",,,,,,,,,,,,,
"　　　　Administration of Education Expenditures Act"" definition. ",,,,,,,,,,,,,
　　　2. The private sector is only private school.,,,,,,,,,,,,,
　　　3. Public sector expenditure on education includes government's educational expenditure and self-financing.,,,,,,,,,,,,,
Source: Ministry of Education ,,,,,,,,,,,,,
