32,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,
Table 16. Number of overseas compatriot Chinese students in all levels of schools ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Persons
School Year,,Number of overseas compatriot Chinese students,,,,University,,National Defense Medical Center,,NTNU Division of Preparatory Programs for Overseas Chinese Students ,,Junior college,
,,,,,,,,,,,,,
,,Total,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,,,,,,
2007,,11974,,6117,5857,4874,4576,43,32,592,593,71,155
2008,,12510,,6403,6107,5150,4897,40,34,636,557,62,124
2009,,13941,,7082,6859,5675,5553,42,30,763,697,42,110
2010,,14610,,7476,7134,6164,5911,42,33,735,643,28,81
2011,,15151,,7821,7330,6789,6404,42,33,447,339,18,48
,,,,,,,,,,,,,
2012,,16266,,8468,7798,7401,6813,40,34,511,424,15,40
2013,,18068,,9393,8675,8229,7637,43,37,619,504,21,45
2014,,21437,,11265,10172,9878,8863,47,34,655,593,26,38
2015,,24649,,12953,11696,11550,10232,49,39,464,526,22,36
2016,,26973,,14126,12847,12472,11146,49,49,434,416,19,41
2017,,28308,,14766,13542,12919,11624,54,54,277,311,14,37
2018,,28805,,14841,13964,12370,11542,57,67,238,259,10,32
2019,,28743,,14757,13986,11606,11086,51,73,251,258,11,30
2020,,30502,,15503,14999,11925,11628,50,75,310,290,9,28
2021,,33489,,17060,16429,13014,12607,48,70,378,405,11,22
,,,,,,,,,,,,,
School Year,,Senior secondary schools ,,,,Junior high school,,Primary school,,Elementary & junior high supp. school ,,Continuing school,
,,Male,,Female,,,,,,,,,
,,Sr. high school,Voca-tional school ,Sr. high school,Voca-tional school ,Male,Female,Male,Female,Male,Female,Male,Female
,,,,,,,,,,,,,
2007,,150,160,156,103,138,132,68,55,3,31,18,24
2008,,166,130,178,90,137,124,73,59,9,44,0,0
2009,,197,91,199,69,111,95,161,106,0,0,0,0
2010,,174,86,178,61,92,99,155,128,0,0,0,0
2011,,203,74,218,65,92,84,156,139,0,0,0,0
,,,,,,,,,,,,,
2012,,180,66,183,68,65,88,190,148,0,0,0,0
2013,,188,56,187,59,59,71,178,135,0,0,0,0
2014,,347,,363,,103,105,209,176,0,0,0,0
2015,,588,,571,,78,94,202,198,0,0,0,0
2016,,832,,928,,122,110,198,157,0,0,0,0
2017,,1275,,1286,,73,91,154,139,0,0,0,0
2018,,1919,,1812,,77,87,170,165,0,0,0,0
2019,,2546,,2284,,112,100,180,155,0,0,0,0
2020,,2852,,2665,,108,98,249,215,0,0,0,0
2021,,3245,,2978,,94,107,270,240,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note: Including Students from Hong Kong and Macao,,,,,,,,,,,,,
Source: Ministry of Education ,,,,,,,,,,,,,
