"EDUCATION, SCIENCE AND TECHNOLOGY, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,37
CULTURE AND MASS COMMUNICATION,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 20. General conditions of culture and mass communication,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Numbers
End of Year,,Publishing industries,,,,"Cinema
(3)",Radio & TV,,,,
,,,"
Newspaper & related publishing
(1)","
Periodical & magazine publishing
(1)","
Book publishing
(1)(2)",,Wireless radio & TV,,Satellite broadcasting ,,
,,,,,,, Radio,TV,Direct satellite broadcasting service operator,Program supplier (4),
,,,,,,,,,,Domestic,Foreign
2007,,5095,177,984,1908,108,-,-,-,-,-
2008,,9587,183,996,1864,115,-,-,-,-,-
2009,,9378,191,1040,1839,111,172,5,-,79,30
2010,,9249,197,1073,1828,108,171,5,-,82,30
2011,,9144,202,1125,1833,110,171,5,-,80,29
,,,,,,,,,,,
2012,,9036,211,1218,1829,113,171,5,8,80,29
2013,,8884,215,1247,1878,108,171,5,7,84,30
2014,,8642,224,1298,1876,104,171,5,6,86,29
2015,,8386,232,1284,1869,107,171,5,6,93,30
2016,,8254,248,1291,1897,114,170,5,6,93,33
2017,,8156,253,1307,1909,116,171,5,5,92,30
2018,,8110,258,1317,1962,125,171,5,5,90,28
2019,,7994,264,1281,1968,130,171,5,5,87,27
2020,,7905,262,1261,1985,133,185,5,4,78,27
2021,,...,...,...,...,...,186,5,4,72,27
,,,,,,,,,,,
End of Year,,Radio & TV,,,,,,,,,
,,Satellite broadcasting ,,Cable TV,,,,,Multimedia content platform service,,
,,Channels,,Transmi-ssion system,System operators,Subscribers,Digital service subscribers,Digital pay-channel subscribers,Numbers,Channels,Subscribers
,,Domestic,Foreign,,,,,,,,
2007,,-,-,-,-,-,-,-,-,-,-
2008,,-,-,-,-,-,-,-,-,-,-
2009,,233,,3,60,4980251,256727,146586,2,120,668541
2010,,268,,3,59,5084491,391462,276984,2,158,815579
2011,,158,105,3,59,5061737,570727,428448,2,181,1064138
,,,,,,,,,,,
2012,,157,112,3,59,4989155,1049321,585655,2,209,1205760
2013,,165,115,3,56,4985222,2275194,972262,2,208,1265111
2014,,169,111,3,56,5002216,3947507,1212630,1,159,1284557
2015,,181,118,3,61,5078876,4563243,1329730,1,195,1298012
2016,,180,124,2,63,5205562,4988968,1418710,1,193,1331545
2017,,175,115,0,65,5225255,5196974,1550946,1,202,1602048
2018,,171,114,0,65,5077382,5075066,1531364,1,206,2009964
2019,,165,110,0,64,4974839,4974688,1549020,1,205,2081891
2020,,150,104,0,64,4867591,4867591,1610976,1,204,2068889
2021,,140,97,0,64,4740062,4740062,1623259,1,197,2061371
,,,,,,,,,,,
,,,,,,,,,,,
Note: (1) Data include the digital publishing.,,,,,,,,,,,
"　　   (2) Data include the comic creation, literary creation and independent contributors from 2010.",,,,,,,,,,,
　　   (3) Data include the open-air cinema.,,,,,,,,,,,
　　   (4) Some program  suppliers are for both domestic and foreign program  suppliers at the same time.,,,,,,,,,,,
Source: 1. Ministry of Culture         ,,,,,,,,,,,
　　　　2. National Communications Commission ,,,,,,,,,,,
