HEALTH               ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,43,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Table 23. Number of deaths and crude death rates by leading causes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,Persons,,
Year & District & Sex,,All causes of deaths,,Leading causes of deaths,,,,,,,,,,
,,,,Malignant neoplasms,,"Diseases of heart
(except hypertensive diseases)",,Pneumonia,,Cerebrovascular diseases,,Diabetes mellitus,,
,,,,,,,,,,,,,,95y年中人口數
,,No. of deaths,Crude death rates,No. of deaths,Crude death rates,No. of deaths,Crude death rates,No. of deaths,Crude death rates,No. of deaths,Crude death rates,No. of deaths,,22823455
1952,,76053,950.8038726508147,2459,30.742070961676117,3922,49.032290488692034,10516,131.46954787840016,3902,48.782253311289224,-,,
1981,,86204,479.70295411244814,13764,76.59309846879188,7706,42.88189601863632,2833,15.764911941447792,14202,79.03045513323035,1613,,
1991,,104461,510.6892704067445,19630,95.96720669038584,12026,58.79274720624453,2644,12.925995643880801,14137,69.11301074793604,4210,,
2001,,126667,566.9679944425346,32993,147.67836169359458,11003,49.249992838317866,3746,16.76728830067606,13141,58.81979059241435,9113,,
2011,,152030,655.48486328125,42559,183.49523740846985,16513,71.19661776183798,9047,39.00658880223752,10823,46.663900807628686,9081,,
 ,,,,,,,,,,,,,,
2012,,153823,661.02524296,43665,187.6420771533169,17121,73.57425862686223,9314,40.02515301971817,11061,47.53255503018066,9281,,
2013,,154374,661.28158293,44791,191.86821214153406,17694,75.79460484544448,9042,38.73261088575274,11313,48.46074175520026,9438,,
2014,,162886,696,46093,196.9,19399,82.89310613500851,10353,44.23244508812413,11733,50.146056371157734,9846,,
2015,,163574,697.2,46829,199.6,19202,81.8,10761,45.9,11169,47.6,9530,,
2016,,172418,733.2,47760,203.1,20812,88.5,12212,51.9,11846,50.4,9960,,
2017,,171857,729.6,48037,203.9,20644,87.6,12480,53,11755,49.9,9845,,
2018,,172859,733.1,48784,206.9,21569,91.5,13421,56.9,11520,48.9,9374,,
2019,,175424,743.4,50232,212.9,19859,84.2,15185,64.4,12176,51.6,9996,,
2020,,173067,733.8889407524415,50161,212.70723567799303,20457,86.74771077659344,13736,58.247375237194476,11821,50.126836246278096,10311,,
2021,,184172,784.7700779030414,51656,220.10991434180826,21852,93.11293650683743,13549,57.73325904865185,12182,51.90837417748002,11450,,
By district,,,,,,,,,,,,,,
  Taiwan Area ,,,,,,,,,,,,,,
New Taipei City ,,27109,674.4314980830487,7830,194.79872477739022,3822,95.0856610599215,1961,48.78675597553796,1614,40.15391338323216,1652,,
Taipei City ,,18652,727.625808714228,5316,207.38037739249603,2812,109.697821901373,1464,57.111526053915384,1093,42.63859151429612,896,,
Taoyuan City ,,14237,627.0151620783766,3619,159.38525472793742,1690,74.42969894728219,779,34.308127502918836,994,43.77699452875651,768,,
