HEALTH      ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,45
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 24. Number of confirmed cases of notifiable diseases,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,Persons
Year & District,,Dengue fever,Acute flaccid paralysis,Shigello-sis,Amoebia-sis,Acute hepatitis,Tuberculo-sis,Pertussis,Japanese encephalitis,Legionnaires' disease,Invasive haemophilus influenzae type b infection
,,,,,,,,,,,
,,,,,,,,,,,
1992,,23,0,88,28,-,-,-,10,-,-
1996,,53,83,256,7,560,-,15,21,44,-
2001,,270,101,1327,303,769,14486,6,33,40,49
2006,,1074,66,139,125,613,15378,14,29,56,16
2011,,1702,45,203,256,323,12788,77,22,97,9
,,,,,,,,,,,
2012,,1478,51,155,258,249,12478,54,32,88,3
2013,,860,25,155,270,260,11657,51,16,115,10
2014,,15732,29,132,300,453,11438,78,18,135,4
2015,,43784,19,186,350,525,10828,70,30,153,3
2016,,743,41,225,314,1476,10440,17,23,114,14
2017,,343,61,162,378,858,9862,34,25,188,6
2018,,533,66,172,334,751,9299,30,37,211,5
2019,,640,64,147,352,851,8811,32,21,281,3
2020,,137,33,151,250,791,7897,5,21,326,3
2021,,12,28,121,188,785,7144,0,28,351,1
Taiwan Area ,,,,,,,,,,,
New Taipei City ,,3,5,39,28,164,1073,0,0,53,0
Taipei City ,,2,2,24,23,107,550,0,0,32,0
Taoyuan City ,,1,2,9,13,103,459,0,0,25,0
Taichung City ,,1,1,14,31,93,782,0,4,19,0
Tainan City ,,2,3,11,15,50,624,0,5,20,0
Kaohsiung City ,,2,5,5,25,70,1094,0,3,55,0
Yilan County,,0,0,1,8,19,160,0,1,16,0
Hsinchu County,,0,3,3,4,24,157,0,0,4,0
Miaoli County,,0,1,2,3,28,116,0,1,6,0
Changhua County,,0,1,2,15,28,463,0,2,20,0
Nantou County,,0,0,2,5,14,215,0,1,4,0
Yunlin County,,0,1,1,0,13,266,0,1,9,0
Chiayi County,,0,1,0,3,10,178,0,1,7,0
Pingtung County,,0,0,0,10,17,450,0,7,36,0
Taitung County,,0,0,0,0,7,95,0,0,3,0
Hualien County,,0,0,2,3,10,164,0,1,18,1
Penghu County,,0,1,0,1,0,18,0,0,0,0
Keelung City ,,0,0,1,1,5,118,0,1,21,0
Hsinchu City ,,1,2,4,0,18,88,0,0,0,0
Chiayi City ,,0,0,1,0,5,55,0,0,3,0
Kinmen & Lienchiang Area,,,,,,,,,,,
Kinmen County,,0,0,0,0,0,15,0,0,0,0
Lienchiang County,,0,0,0,0,0,4,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
Note: Data do not include Kinmen County and Lienchiang County before 1993.,,,,,,,,,,,
"Source: Centers for Disease Control, Ministry of Health and Welfare",,,,,,,,,,,
