HEALTH               ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,47
,,,,,,,
,,,,,,,
,,,,,,,
Table 25. Daily nutrient consumption per capita,,,,,,,
,,,,,,,
,,,,,,,
Year,,"Energy (1)
(Calories)","Protein
(Grams)","Fat
(Grams)","Carbohydrate
(Grams)","Calcium
(Milligrams)","Phosphorus
(Milligrams)"
,,,,,,,
,,,,,,,
,,,,,,,
1984,,2592.8815,78.8422,80.8368,379.1197,441.2458,1190.5844
1991,,2925.3455,91.5588,114.3249,372.8863,580.7695,1300.9818
1996,,3047.1292,98.2532,126.6174,366.9467,640.1815,1355.7797
2001,,2867.2529,91.9955,116.982,349.9688,571.9288,1230.4379
2006,,2730.129,80.6574,114.1512,337.5275,483.5791,1077.6527
,,,,,,,
2011,,2655.7427,80.5949,107.5883,331.2023,463.8801,1045.6347
2012,,2715.8039,80.4791,111.1702,337.7546,457.6171,1040.6201
2013,,2635.7188,78.7793,103.7192,336.8695,457.0924,1029.1406
2014,,2750.6012,80.7003,113.3905,342.0014,466.2864,1054.0982
2015,,2806.8229,84.8246,115.3345,347.6431,509.0626,1105.1684
2016,,2768.1980258035,83.4021811855,114.0226163716,341.7467084006,520.1160318613,1096.5147250213
2017,,2838.5253334809,85.5500514653,117.0631132868,350.7296448524,541.4512116066,1134.5299949586
2018,,2873.1345353644,87.8754952765,120.6612410751,349.08323429,533.7975075312,1150.4664514344
2019,,2828.306539086,86.8284624229,118.7541343656,342.8743862149,529.854922544,1138.4357809374
2020,,2881.4892439395,91.0252040927,120.458187888,346.5796279196,576.5467284955,1120.240636075
,,,,,,,
Year,,"Iron
(Milligrams)","Vitamin A
(International unit)","Thiamine
(Milligrams)","Riboflavin
(Milligrams)","Niacin
(Milligrams)","Ascorbic acid
(Milligrams)"
,,,,,,,
,,,,,,,
,,,,,,,
1984,,11.0361,7460.1,1.4267,1.1072,15.7675,134.2051
1991,,12.86,6989.6,1.5676,1.4289,15.6431,137.7127
1996,,14.1834,7845,1.6106,1.5487,16.5542,142.4801
2001,,12.3665,7193.4,1.5099,1.494,15.9084,146.8487
2006,,10.7682,8996.1,1.4048,1.3852,14.8757,151.2912
,,,,,,,
2011,,10.7214,8876.8,1.3442,1.3363,14.8827,144.9241
2012,,10.7591,9260.1,1.334,1.2985,14.7542,138.2077
2013,,10.608,9386.7,1.3016,1.2966,14.3973,138.0172
2014,,10.7888,9771.4,1.3317,1.3256,14.8542,138.4931
2015,,11.3704,9818.2,1.412,1.34,14.7342,134.1398
2016,,11.6606926611,10150.9334648118,1.3985417943,1.3233840644,14.4968004844,132.1657461035
2017,,12.3304299771,10444.6224336075,1.4402125625,1.3886400457,14.76181771,142.6765558849
2018,,11.8193513802,10348.4403221281,1.4459108168,1.4049270059,15.6130658326,144.1218891616
2019,,12.140451464,9706.3105953707,1.4248523987,1.4088016161,15.4210252612,135.6785549099
2020,,11.9839236782,6612.9077315441,1.3916058627,1.4431601335,14.92515167,165.9378245915
,,,,,,,
,,,,,,,
Note: (1)Including wine & beer,,,,,,,
"Source: Council of Agriculture, Executive Yuan",,,,,,,
