50,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 26. Emissions of greenhouse gases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103M.T. CO2 equivalent
Year,,Total,,,,,"Carbon
dioxide
(CO2)",,,,,,,,,"Methane
(CH4)",,,,"Nitrous
oxide
(N2O)",,,,"Hydro fluoro-
carbons
(HFCS)",,,,,"Perfluoro-
carbons
(PFCS)",,,,,"Sulphur
hexafluo-ride
(SF6)",,,,"Nitrogen trifluoride

(NF3)",,,
,,,,,,,,,,,,"Per capita
(M. T.  / persons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,137782.115,,,,,124085.115,,,,,6.118913428735399,,,,10705,,,,2992,,,,0,,,,,0,,,,,0,,,,0,,,
1991,,147895.674,,,,,133603.674,,,,,6.516118267805877,,,,11030,,,,3262,,,,0,,,,,0,,,,,0,,,,0,,,
1996,,194922.665,,,,,176793.665,,,,,8.245422460589387,,,,13291,,,,3533,,,,1305,,,,,0,,,,,0,,,,0,,,
2001,,251987.977,,,,,229776.977,,,,,10.28493544638765,,,,11734,,,,3938,,,,2619,,,,,2939,,,,,746,,,,235,,,
2006,,299070.349,,,,,276159.349,,,,,12.099804740342773,,,,8886,,,,4800,,,,1015,,,,,3664,,,,,3858,,,,688,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,286961.06799999997,,,,,270148.06799999997,,,,,11.674027954127634,,,,6570,,,,5026,,,,971,,,,,1770,,,,,2218,,,,258,,,
2011,,292608.003,,,,,276283.003,,,,,11.912078579715216,,,,6226,,,,4927,,,,1053,,,,,1781,,,,,1918,,,,420,,,
2012,,287757.93700000003,,,,,272738.93700000003,,,,,11.720439862422456,,,,5890,,,,4841,,,,907,,,,,1141,,,,,1852,,,,388,,,
2013,,289120.554,,,,,273796.554,,,,,11.72843993357884,,,,5547,,,,4643,,,,1019,,,,,1345,,,,,1997,,,,773,,,
2014,,291240.887,,,,,276310.887,,,,,11.806323547602755,,,,5305,,,,4624,,,,1048,,,,,1556,,,,,1730,,,,667,,,
2015,,290073.927,,,,,275835.927,,,,,11.75625213808166,,,,5093,,,,4593,,,,1020,,,,,1347,,,,,1523,,,,662,,,
2016,,293888.276,,,,,279705.276,,,,,11.894281773494539,,,,5032,,,,4794,,,,1026,,,,,1441,,,,,1418,,,,472,,,
2017,,299033.642,,,,,284820.642,,,,,12.09145983034169,,,,4922,,,,5003,,,,1023,,,,,1409,,,,,1416,,,,440,,,
2018,,297264.95,,,,,282921.95,,,,,11.998345891921188,,,,4891,,,,5092,,,,1013,,,,,1536,,,,,1302,,,,509,,,
2019,,287161.918,,,,,273616.918,,,,,11.595889587596455,,,,4786,,,,4904,,,,1027,,,,,1420,,,,,935,,,,473,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Environmental Protection Administration, Executive Yuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
