ENVIRONMENT            ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,51,Unnamed: 41
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 27. Carbon dioxide emissions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103M.T.
Year,,Total,,,,Energy use (fuel combustion only) by sectors,,,,,,,,,,,,,,,,,,,,,,,,,Industrial process and product use sector,,,,Agricul-tural  sector,,,Incinera-tion of waste sector,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Subtotal,,,,Energy ,,,,Industrial,,,,"Transpor-
tation",,,,"Agricul-
tural",,,Services,,,"Residen-
tial",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,124085.115,,,,109465.115,,,,49123.416,,,,30123.51,,,,19646.36,,,,2946.328,,,3620.71,,,4004.79,,,14458,,,,142,,,20,,,
1991,,133603.674,,,,118442.674,,,,55125.539,,,,31962.799,,,,20888.144,,,,2699.843,,,3528.767,,,4237.581,,,15007,,,,146,,,8,,,
1996,,176793.665,,,,158578.665,,,,81253.853,,,,36791.033,,,,29800.952,,,,2804.524,,,3174.779,,,4753.525,,,17677,,,,151,,,387,,,
2001,,229776.977,,,,212956.977,,,,126142.141,,,,42394.743,,,,33246.479,,,,2455.011,,,3537.701,,,5180.902,,,16186,,,,94,,,540,,,
2006,,276159.349,,,,255331.349,,,,163614.695,,,,43994.019,,,,36770.822,,,,1646.538,,,4272.339,,,5032.936,,,20299,,,,59,,,470,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,270148.06799999997,,,,251708.068,,,,165522.012,,,,41360.145,,,,34651.908,,,,1112.679,,,4203.904,,,4857.419,,,18178,,,,54,,,208,,,
2011,,276283.003,,,,257096.003,,,,169884.047,,,,42297.875,,,,35106.715,,,,1123.06,,,3897.887,,,4786.419,,,18985,,,,53,,,149,,,
2012,,272738.93700000003,,,,253165.937,,,,168333.328,,,,40982.624,,,,34283.593,,,,1259.388,,,3635.371,,,4671.634,,,19369,,,,55,,,149,,,
2013,,273796.554,,,,254069.554,,,,168270.741,,,,42019.135,,,,34208.838,,,,1274.005,,,3812.405,,,4484.43,,,19529,,,,45,,,153,,,
2014,,276310.887,,,,258480.887,,,,175180.207,,,,38953.269,,,,34666.1,,,,1342.933,,,3927.569,,,4410.81,,,17644,,,,40,,,146,,,
2015,,275835.927,,,,258475.927,,,,175198.062,,,,38074.256,,,,35505.94,,,,1287.456,,,3941.424,,,4468.788,,,17219,,,,38,,,103,,,
2016,,279705.276,,,,262982.276,,,,178568.653,,,,38296.34,,,,36584.335,,,,1276.278,,,3719.757,,,4536.913,,,16557,,,,34,,,132,,,
2017,,284820.642,,,,269461.642,,,,187135.113,,,,36740.743,,,,36201.584,,,,1202.998,,,3779.008,,,4402.196,,,15199,,,,31,,,129,,,
2018,,282921.95,,,,267207.95,,,,189211.867,,,,33479.85,,,,35206.512,,,,1512.226,,,3317.493,,,4480.003,,,15525,,,,30,,,159,,,
2019,,273616.918,,,,258820.918,,,,181334.181,,,,32726.018,,,,35442.915,,,,1514.368,,,3336.667,,,4466.769,,,14553,,,,29,,,214,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: 1. Environmental Protection Administration, Executive Yuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"　　　　2. Bureau of Energy, Ministry of Economic Affairs ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
