SOCIAL WELFARE ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,67
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 33. Low-income families and living assistance,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
End of Year & District,,"Low-income families (1) (Households, Persons)",,,,,,,,"As a % of total house-holds
(％)","As a % of total
popu-lation
(％)"
,, Total,,Class 1,,Class 2,,Class 3,,,
,,,,,,,,,,,
,,Households, Persons,Households, Persons,Households, Persons,Households, Persons,,
1981,,31038,113440,0,0,0,0,0,0,0.8,0.63
1991,,42665,116225,12012,15326,14818,48089,15835,52810,0.8162136981951088,0.5640393731269562
2001,,67191,162699,4132,4761,22461,49876,40598,108062,0.9877716019082423,0.726154320211833
2006,,89900,218166,4214,4472,21073,47168,64613,166526,1.2157260589190342,0.9536674863277979
2011,,128237,314282,4253,4482,26999,56295,96985,253505,1.59,1.35
 ,,,,,,,,,,,
2012,,145613,357446,4364,4582,31095,63984,110154,288880,1.78,1.53
2013,,148590,361765,4520,4698,32656,64022,111414,293045,1.79,1.55
2014,,149958,357722,4243,4389,33053,61779,112662,291554,1.7888987783051737,1.53
2015,,146379,342490,3902,4032,32662,57917,109815,280541,1.73,1.46
2016,,145176,331776,3533,3653,33216,56516,108427,271607,1.7,1.41
2017,,142814,317257,3328,3448,32748,53142,106738,260667,1.65,1.35
2018,,143941,311526,3073,3194,33394,52141,107474,256191,1.65,1.32
2019,,144863,304470,2926,3028,34050,51337,107887,250105,1.64,1.29
2020,,146342,300241,2733,2813,34563,50711,109046,246717,1.64,1.27
2021,,146995,295901,2646,2725,34843,50284,109506,242892,1.6320845426343848,1.26586962639304
Taiwan Area ,,,,,,,,,,,
New Taipei City ,,18970,37386,78,86,1413,2220,17479,35080,1.1703331346790005,0.9327581333161016
Taipei City ,,21647,44678,1579,1630,6435,8636,13633,34412,2.0565345108664674,1.7698512077952997
Taoyuan City ,,11802,28359,51,53,1271,2372,10480,25934,1.3689160254343251,1.247980651217154
Taichung City ,,20168,44205,415,424,6832,10943,12921,32838,1.9824461899739416,1.571180277875521
Tainan City ,,9546,17527,230,233,3071,3798,6245,13496,1.344647188580218,0.9412698523516172
Kaohsiung City ,,15368,30563,64,67,6918,9333,8386,21163,1.3614361344001815,1.1135315414376334
Yilan County,,2683,4900,10,10,284,421,2389,4469,0.10444939635022743,1.0872169907608744
Hsinchu County,,1974,4353,9,9,299,435,1666,3909,0.9368103836936146,0.7562806212863546
Miaoli County,,3189,6077,1,1,1230,1836,1958,4240,1.6325381386300808,1.1291803083738094
Changhua County,,7387,12336,2,2,85,130,7300,12204,1.8504555372132696,0.9826898106473995
Nantou County,,2693,4704,4,4,152,284,2537,4416,1.4976503628729527,0.9701029290756594
Yunlin County,,5659,11310,2,2,2836,4375,2821,6933,2.3118813296892298,1.6877271940453524
Chiayi County,,2203,3668,7,7,208,262,1988,3399,1.1900903236959246,0.7435396378791688
Pingtung County,,8468,15780,51,51,841,999,7576,14730,2.8875400668348905,1.9616130475858984
Taitung County,,3689,7067,51,51,644,849,2994,6167,4.389576392194193,3.311838639835791
Hualien County,,4356,9113,10,10,424,547,3922,8556,3.4050403351885437,2.835778166406313
Penghu County,,705,1240,36,37,291,367,378,836,1.661677705234874,1.1660710927214595
Keelung City ,,2634,5164,5,5,706,1131,1923,4028,1.6878556415645667,1.418770966297321
Hsinchu City ,,2028,4189,10,10,507,815,1511,3364,1.165148947171871,0.9254595263343938
Chiayi City ,,1513,2734,17,18,315,407,1181,2309,1.4861891477741542,1.0327620529828843
Kinmen & Lienchiang Area,,,,,,,,,,,
Kinmen County,,266,462,0,0,66,105,200,357,0.6238859180035651,0.3264118016942327
Lienchiang County,,47,86,14,15,15,19,18,52,1.3318220459053556,0.6302674972517406
,,,,,,,,,,,
,,,,,,,,,,,
Note: (1) Data do not include Kinmen County and Lienchiang County before 1982. The new “Public Assistance Act” shall take effect on the 1st of July 2011.,,,,,,,,,,,
"　　　     In addition to the upward revision of minimum monthly income, brothers and sisters are excluded from the scope of number of members living in",,,,,,,,,,,
　　　　 the household.,,,,,,,,,,,
Source: Ministry of Health and Welfare,,,,,,,,,,,
