74,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,STATISTICAL  YEARBOOK OF
,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,Edited 2022
,,,,,,
Table 36. General situation of farmer's health insurance,,,,,,
,,,,,,
,,,,,,"Units, Persons, Cases, 10 Thousand NT$"
Year & District,,"No. of insured units
(1)","No. of insured persons
(1)",Premium receivable,Real cash benefits,
,,,,,,
,,,,,Cases,Amount
,,,,,,
1985,,41,100739,7646.6292,250,609.21
1991,,289,1653676,1343376.8256,46035,495687.6
2001,,289,1766854,546611.5852,96844,1308879.3
2006,,288,1622923,505759.9685,59775,847951.84
2011,,287,1479148,463073,56859,849452
,,,,,,
2012,,287,1454728,453335,56234,870956
2013,,287,1409634,443058,52457,818194
2014,,287,1349903,427586,52379,822868
2015,,287,1284649,408793.3155999999,49058,766785
2016,,287,1235745,387456.3249,47194,749651.04
2017,,287,1174749,370017.6333,46386,744216.82
2018,,287,1130275,353007.5155,45518,737345.42
2019,,287,1084030,337589.2518,45001,739889.64
2020,,287,1046201,326888.5736,42309,686844.88
2021,,287,1005715,318143.8381,41417,669551.8
Taiwan Area ,,,,,,
New Taipei City ,,24,28562,9152.7705,1241,20102.16
Taipei City ,,9,5427,1743.5777,235,3613.18
Taoyuan City ,,13,45291,14431.883,1730,27814.04
Taichung City ,,22,80839,25679.5315,3166,50145.24
Tainan City ,,32,116439,36940.8811,5018,82111.02
Kaohsiung City ,,26,80868,25566.4027,3290,53083.86
Yilan County,,10,24086,7651.3203,1113,17879.58
Hsinchu County,,11,23121,7367.8952,1127,18754.4
Miaoli County,,17,49482,15703.6556,2326,38335
Changhua County,,26,125233,39508.8771,4836,79794.94
Nantou County,,13,68812,21745.2761,2824,44395.16
Yunlin County,,20,108657,34202.23,4553,73620.2
Chiayi County,,17,92254,29028.5505,3560,57727.92
Pingtung County,,24,96390,30360.4208,3716,58415.74
Taitung County,,8,24108,7578.7692,924,14788.98
Hualien County,,9,18757,5934.0961,844,13735.66
Penghu County,,1,3607,1167.2547,328,5465.16
Keelung City ,,1,434,140.9081,31,476.68
Hsinchu City ,,1,2802,897.1049,131,2101.88
Chiayi City ,,1,6600,2082.9508,230,3727.76
Kinmen & Lienchiang Area,,,,,,
Kinmen County,,1,3874,1236.4921,190,3402.04
Lienchiang County,,1,72,22.9901,4,61.2
,,,,,,
說　　明：,1.自81年度起，垃圾處理量含自行或委託清運至垃圾場(廠)之一般事業廢棄物，故平均每日垃圾清運量與處理量總計不相等。,,,,,
,,,,,,
Note: (1) End of year,,,,,,
"Source: Bureau of Labor Insurance, Ministry of Labor",,,,,,
