SOCIAL WELFARE ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Table 37. General situation of government employee and school staff insurance,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,"Persons, Thousand NT$"
Year,,"No. of insured persons
(1)",,Premiums,,Cash benefits (including pension benefit payments) (2),,,,
,,,,,,Total,,Disability,,Old age (3)
,,GESSI,RGEI,GESSI,RGEI,Persons,Amount,Persons,Amount,Persons
,,,,,,,,,,
2007,,590808,502,16677444,1391,29194,21377770,1056,347635,13520
2008,,594798,458,16926336,1306,28766,20307724,1042,340805,12852
2009,,597983,416,17165917,1164,31957,20374548,1030,345954,12897
2010,,597583,372,17417350,1054,36324,24971873,1029,355476,16333
2011,,593949,334,17694632,948,37850,26951995,947,337644,17365
,,,,,,,,,,
2012,,593846,303,17991298,851,38862,28245148,952,361365,17989
2013,,593760,258,20862453,689,38024,26406707,885,320252,16896
2014,,587459,150,20948418,538,44936,24424799,869,327938,18029
2015,,582725,125,20917837,302,55581,32784604,790,302791,22954
2016,,578624,100,22778804,329,53385,29852594,828,324413,20356
2017,,584469,89,23477880,286,48909,24901898,830,313684,16788
2018,,589483,78,24863074,260,46050,23212324,751,294712,14638
2019,,591856,62,23511420,206,45353,24657067,807,326439,15252
2020,,594346,52,23622980,174,42406,21937919,709,286431,13335
2021,,587466,41,23627454,145,42460,22956152,645,258598,13601
,,,,,,,,,,
Year,,Cash benefits (including pension benefit payments) (2),,,,,,,,
,,Old age (3),Death (3),,Dependents' funeral allowance,,Parental leave allowance,,Maternity (4),
,,Amount,Persons,Amount,Persons,Amount,Persons,Amount,Persons,Amount
,,,,,,,,,,
2007,,18921039,585,622512,14033,1486584,-,-,-,-
2008,,17785186,597,643120,14275,1538613,-,-,-,-
2009,,17602882,569,639646,14751,1601003,2710,185063,-,-
2010,,22016132,575,643044,14768,1624451,3619,332772,-,-
2011,,23927578,565,647101,15234,1706094,3739,333578,-,-
,,,,,,,,,,
2012,,25142386,521,623324,15113,1739995,4287,378080,-,-
2013,,23276649,541,646142,15120,1756005,4582,407659,-,-
2014,,20865515,564,683050,15733,1834985,5175,444792,4566,268518
2015,,28976625,505,621253,15183,1775493,5929,497877,10220,610565
2016,,25909044,529,651982,15624,1838896,6036,520070,10012,608190
2017,,21045386,504,632333,15155,1796785,6151,534112,9481,579597
2018,,19317586,512,662135,15336,1861466,6055,532565,8758,543862
2019,,20774112,522,679997,14996,1855867,5741,514850,8035,505803
2020,,18271186,443,582886,15041,1870381,5396,491008,7482,472027
2021,,19249216,442,607126,15377,1923152,5402,474771,6993,443289
,,,,,,,,,,
說　　明：,1.自81年度起，垃圾處理量含自行或委託清運至垃圾場(廠)之一般事業廢棄物，故平均每日垃圾清運量與處理量總計不相等。,,,,,,,,,
,,,,,,,,,,
"Note: (1) End of year (2) Including RGEI (3) Amendment to the GESSI Act was implemented on June 1, 2014. “Old age” and “Death” benefits separately ",,,,,,,,,,
"           were divided into two parts, pension and lump sum. (4) Maternity benefit came into operation on June 1, 2014.　　",,,,,,,,,,
Source: Bank of Taiwan,,,,,,,,,,
