80,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41. Gross national income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chained (2016) dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Million NT$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,GNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GDP,,,,,,,Net factor income from the rest of the world,,,,,,,Gain or loss resulting from changes in the terms of trade,,,,,,,"NI 
at market prices",,,,,,,,,,,,,,,,,,,,,Consumption of fixed capital,,,,,,,Statistical discrepancy,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NI 
at factor cost",,,,,,,Net taxes on production and imports,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,,163187,,,,,,,156918,,,,,,,-208,,,,,,,5687,,,,,,,168377,,,,,,,153790,,,,,,,14186,,,,,,,323,,,,,,,0,,,,,,
1981,,2663796,,,,,,,2512595,,,,,,,-16650,,,,,,,149710,,,,,,,2414184,,,,,,,2133095,,,,,,,264672,,,,,,,249481,,,,,,,-14960,,,,,,
1991,,6457778,,,,,,,5592915,,,,,,,197030,,,,,,,679957,,,,,,,5785410,,,,,,,5235013,,,,,,,550820,,,,,,,607956,,,,,,,26453,,,,,,
2001,,10956059,,,,,,,9724993,,,,,,,221157,,,,,,,1001953,,,,,,,9288056,,,,,,,8652703,,,,,,,642023,,,,,,,1585104,,,,,,,65230,,,,,,
2011,,14683569,,,,,,,15436975,,,,,,,391231,,,,,,,-1144749,,,,,,,12339892,,,,,,,11526315,,,,,,,815639,,,,,,,2367961,,,,,,,-24891,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,15052892,,,,,,,15779909,,,,,,,445802,,,,,,,-1174237,,,,,,,12667183,,,,,,,11858812,,,,,,,809433,,,,,,,2422048,,,,,,,-36862,,,,,,
2013,,15638936,,,,,,,16171821,,,,,,,411099,,,,,,,-943499,,,,,,,13193923,,,,,,,12346322,,,,,,,848862,,,,,,,2480319,,,,,,,-34887,,,,,,
2014,,16564562,,,,,,,16935007,,,,,,,443686,,,,,,,-814222,,,,,,,14127703,,,,,,,13236549,,,,,,,891914,,,,,,,2550223,,,,,,,-113302,,,,,,
2015,,17547430,,,,,,,17183235,,,,,,,446330,,,,,,,-82111,,,,,,,14950537,,,,,,,14041824,,,,,,,908694,,,,,,,2623072,,,,,,,-26345,,,,,,
2016,,18006409,,,,,,,17555268,,,,,,,451141,,,,,,,0,,,,,,,15305453,,,,,,,14346163,,,,,,,959290,,,,,,,2700956,,,,,,,0,,,,,,
2017,,18479611,,,,,,,18136589,,,,,,,443260,,,,,,,-100238,,,,,,,15765865,,,,,,,14775599,,,,,,,990266,,,,,,,2778339,,,,,,,-64593,,,,,,
2018,,18638507,,,,,,,18642014,,,,,,,406600,,,,,,,-409592,,,,,,,15864685,,,,,,,14829246,,,,,,,1035767,,,,,,,2851224,,,,,,,-77358,,,,,,
2019,,19125365,,,,,,,19213196,,,,,,,463817,,,,,,,-552635,,,,,,,16198726,,,,,,,15159996,,,,,,,1039063,,,,,,,2942339,,,,,,,-15820,,,,,,
2020,,20315535,,,,,,,19858578,,,,,,,557985,,,,,,,-105193,,,,,,,17250310,,,,,,,16348781,,,,,,,901795,,,,,,,3058088,,,,,,,8159,,,,,,
2021,,21463620,,,,,,,21163404,,,,,,,439129,,,,,,,-139362,,,,,,,18263984,,,,,,,17243770,,,,,,,1020831,,,,,,,3202983,,,,,,,-991,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The chained-dollar estimates are not additive.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
