82,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,,,,
Table 43. Composition of gross fixed capital formation,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,％
Year,,By type of capital goods,,,,,,,,,,,By owner,,,
,,Residen-tial buildings,Non-residential buildings,,Other construc-tions except land improve-ment,Land improve-ment and plantation and orchard develop-ment,Transport equip-ments,Machinery and equip-ments,,"Breeding stock, draught animals, dairy cattle and the like",Intellectual property products,,Private enter-prises,Public enter-prises,,General govern-ment
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
1951,,8.96,21.47,,23.32,0.37,9.33,34.79,,0.07,1.7,,53.96,28.72,,17.32
1981,,11.82,18.37,,13.47,0.24,8.14,44.33,,0.14,3.5,,50.77,32.45,,16.79
1991,,9.58,17.65,,20.34,0.57,8.64,34.72,,0.3,8.2,,50.85,21.91,,27.25
2001,,6.35,15.64,,16.21,1.36,7.53,38.23,,0.03,14.65,,65.84,11.02,,23.13
2011,,10.43,17.3,,10.9,0.83,5.36,36.33,,0.1,18.76,,76.21,6.58,,17.21
,,,,,,,,,,,,,,,,
2012,,11.64,18.33,,9.67,0.74,5.59,34.17,,0.06,19.79,,78.25,6.11,,15.65
2013,,10.44,19.63,,9.35,0.75,5.45,34.03,,0.06,20.27,,79.73,5.78,,14.49
2014,,11.62,19.9,,8.41,0.52,6.1,32.61,,0.07,20.76,,81.31,5.82,,12.87
2015,,11.67,19.77,,7.62,0.44,6.25,32.73,,0.07,21.44,,82.69,5.23,,12.09
2016,,10.11,19.64,,7.22,0.4,6.12,34.46,,0.06,21.99,,83.33,4.9,,11.77
2017,,10.23,19.76,,7.76,0.43,6.37,32.41,,0.08,22.96,,82.52,4.86,,12.63
2018,,10.01,20.12,,7.89,0.42,6.04,32.2,,0.07,23.25,,81.93,5.33,,12.73
2019,,9.15,18.45,,8.76,0.5,5.29,35.65,,0.05,22.14,,82.63,4.85,,12.52
2020,,9.47,18,,9.83,0.47,4.94,34.52,,0.06,22.71,,81.47,5.82,,12.71
2021,,37.74,,,,,4.750619362542692,37.03,,,20.48,,84.41,5.13,,10.46
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,,,,,,,,
