NATIONAL ECONOMICS AND BUSINESS ACTIVITIES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,83
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Table 44. Gross domestic product and expenditure,,,,,,,,,
At current prices,,,,,,,,,
,,,,,,,,,Million NT $
Item,,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Compensation of employees,,7198293,7516962.0,7740858.0,8024870.0,8416746.0,8693294.0,8867534.0,17254661
Operating surplus,,5697300,6001355.0,6154164.0,6281062.0,6094520.0,6097178.0,6799435.0,
Consumption of fixed capital,,2570369,2601636.0,2700956.0,2768310.0,2898233.0,3046253.0,3155489.0,3387928
Taxes on production and imports,,951098,975582.0,1035207.0,1053682.0,1118892.0,1132269.0,1159177.0,1009254
Less: subsidies,,73603,72915.0,75917.0,73175.0,76517.0,86350.0,267992.0,
Plus: statistical discrepancy,,-85410,32460.0,0.0,-71402.0,-76852.0,25988.0,84954.0,58755
Gross domestic product,,16258047,17055080.0,17555268.0,17983347.0,18375022.0,18908632.0,19798597.0,21710598
,,,,,,,,,
"Government final consumption 
 expenditure",,2360910,2363711.0,2482242.0,2486552.0,2623385.0,2652859.0,2771196.0,2936519
"Private final consumption
 expenditure",,8602842,8787564.0,9082075.0,9325676.0,9610482.0,9883066.0,9600375.0,9704331
Changes in inventories,,37881,42438.0,-10001.0,-24580.0,84773.0,-26325.0,5777.0,163742
Gross fixed capital formation,,3630558,3663758.0,3807567.0,3795869.0,4001128.0,4526606.0,4784112.0,5682859
Exports of goods and services,,12559478,12157096.0,11808128.0,12095508.0,12191349.0,11922648.0,11491022.0,14403657
"Less: imports of goods and
　　  services",,10933622,9959487.0,9614743.0,9695678.0,10136095.0,10050222.0,8853885.0,11180510
Gross domestic product,,16258047,17055080.0,17555268.0,17983347.0,18375022.0,18908632.0,19798597.0,21710598
,,"  //-->
",,,,,,,
,,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,
