84,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,STATISTICAL  YEARBOOK OF
,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,Edited 2022
,,,,,,,,,
Table 45. National disposable income and its appropriation,,,,,,,,,
At current prices,,,,,,,,,
,,,,,,,,,Million NT $
Item,,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Government final consumption  
 expenditure",,2360910.0,2363711.0,2482242.0,2486552.0,2623385.0,2652859.0,2771196.0,2936519
"Private final consumption 
 expenditure",,8602842.0,8787564.0,9082075.0,9325676.0,9610482.0,9883066.0,9600375.0,9704331
Saving,,3164738.0,3601872.0,3638664.0,3795630.0,3634404.0,3688815.0,4665117.0,6006451
"Appropriation of disposable 
 income",,14128490.0,14753147.0,15202981.0,15607858.0,15868271.0,16224740.0,17036688.0,18647301
,,,,,,,,,
Compensation of employees,,7198293.0,7516962.0,7740858.0,8024870.0,8416746.0,8693294.0,8867534.0,17254661
Operating surplus,,5697300.0,6001355.0,6154164.0,6281062.0,6094520.0,6097178.0,6799435.0,
"Compensation of employees from 
 ROW, net",,9719.0,8264.0,4590.0,6241.0,8898.0,13051.0,13401.0,12299
"Property and entrepreneurial income 
 from ROW, net",,429386.0,431397.0,446551.0,441120.0,405903.0,463100.0,558438.0,446734
Taxes on production and imports,,951098.0,975582.0,1035207.0,1053682.0,1118892.0,1132269.0,1159177.0,1009254
Less: subsidies,,73603.0,72915.0,75917.0,73175.0,76517.0,86350.0,267992.0,
"Other current transfers from 
 ROW, net",,-83703.0,-107498.0,-102472.0,-125942.0,-100171.0,-87802.0,-93305.0,-75647
Disposable income,,14128490.0,14753147.0,15202981.0,15607858.0,15868271.0,16224740.0,17036688.0,18647301
,,,,,,,,,
,,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,
