NATIONAL ECONOMICS AND BUSINESS ACTIVITIES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,85
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 46. Average disposable income per household by disposable income quintile,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"NT$, ％"
Year,,"Average disposable 
income per household",,,Average disposable income per household of each fifth,,,,,,,,,,,,,,, Income inequality indices,,,,As a % of number of households by sex of household heads,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"1
(Lowest 20%)",,,2.0,,,3.0,,,4.0,,,"5
(Highest 20%)",,,Ratio of income share of highest 20% to that of lowest 20%,,"Gini's 
concentra-tion 
coefficient",,Male,,Female,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,116297,,,51754,,,79335.0,,,101676.0,,,132056.0,,,216666,,,4.18,,0.28,,-,,-,
1981,,266439,,,117224,,,183360.0,,,234699.0,,,303530.0,,,493382,,,4.21,,0.281,,-,,-,
1991,,587242,,,227816,,,389205.0,,,511410.0,,,674451.0,,,1133327,,,4.97,,0.308,,-,,-,
2001,,868651,,,279404,,,524766.0,,,740054.0,,,1013478.0,,,1785550,,,6.39,,0.35,,80.38883736851285,,19.611162631487147,
2011,,907988,,,296352,,,546903.0,,,786324.0,,,1083008.0,,,1827354,,,6.17,,0.342,,73.3,,26.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,923584,,,301362,,,566814.0,,,810075.0,,,1093553.0,,,1846116,,,6.13,,0.338,,71.99,,28.01,
2013,,942208,,,309459,,,583287.0,,,823937.0,,,1111674.0,,,1882680,,,6.08,,0.336,,72.18,,27.82,
2014,,956849,,,317144,,,587625.0,,,830741.0,,,1128799.0,,,1919937,,,6.05,,0.336,,72.07451145958986,,27.925488540410132,
2015,,964895,,,320312,,,587763.0,,,836842.0,,,1139842.0,,,1939718,,,6.06,,0.338,,70.83972505796523,,29.160274942034782,
2016,,993115,,,329400,,,616604.0,,,861413.0,,,1153992.0,,,2004165,,,6.08,,0.336,,70.29387851325272,,29.70612148674728,
2017,,1018941,,,338278,,,627855.0,,,884183.0,,,1191537.0,,,2052850,,,6.07,,0.337,,70.84838782001141,,29.15161217998859,
2018,,1036304,,,344948,,,637775.0,,,888498.0,,,1211270.0,,,2099030,,,6.09,,0.338,,70.7312041688553,,29.2687958311447,
2019,,1059731,,,350189,,,645272.0,,,911571.0,,,1253751.0,,,2137871,,,6.1,,0.339,,70.34436474077276,,29.655635259227235,
2020,,1079648,,,354959,,,657313.0,,,929551.0,,,1280022.0,,,2176394,,,6.13,,0.34,,69.0195080880316,,30.9804919119684,
2021,,1090554,,,358594,,,662440.0,,,935016.0,,,1291029.0,,,2205691,,,6.15,,0.341,,69.13719621843126,,30.862803781568754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,,,,,,,,,,,,,,,,,,,
