NATIONAL ECONOMICS AND BUSINESS ACTIVITIES,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,89
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 49. Approved inward and outward investment,,,,,,,,,,,
Ⅰ. Approved overseas Chinese and foreign investment,,,,,,,,,,,
,,,,,,,,,,,10 Thousand US$
Year,,Total,Overseas Chinese,Foreign nationals,By industry,,,,,,
,,,,,"Agriculture, forestry, fishing & animal husbandry",Mining & quarrying,Manufac-turing,Electricity & gas supply,Water supply & remediation services,Construc-tion,Wholesale & retail trade
,,,,,,,,,,,
,,,,,,,,,,,
1952,,106.7,106.7,0,0,0,106.7,0,0,0,0
1981,,39575.7,3946.3,35629.4,0,0,26267.7,1512.5,0,166.9,0
1991,,177841.9,21946.2,155895.7,21.9,8.8,124169.3,853.1,0,765.6,0
2001,,512851.78849999997,4722.32081,508129.46769,1801.866,3944.66731,177049.09506000002,2915.40919,4132.77473,10604.77715,79015.44002000001
2011,,495543.47605,5153.3277800000005,490390.14826999995,3086.6938999999998,317.79885,146324.75235,1682.9212599999998,7.12377,6476.108389999999,74898.9916
,,,,,,,,,,,
2012,,555898.14592,1166.22544,554731.9204800001,74.40092,159.29022,142367.62889,466.96772,714.39553,4601.20274,101781.82591
2013,,493345.11039000005,897.08056,492448.02983,295.20709,55.49643,175558.25625,392.71284,387.73162,3454.2918799999998,70260.56444
2014,,577002.4162999999,1881.1317800000002,575121.28452,535.8611,0.7,234599.67538,332.72118,397.82378,3688.2000500000004,78465.87794
2015,,479684.74112,1484.3501099999999,478200.39101,194.08226,0,133154.66259000002,285.4304,1694.8084800000001,1057.9610500000001,106917.97916999999
2016,,1103706.11885,1082.721,1102623.3978499998,1606.8793600000001,18.2454,756636.25431,94.0672,25.54306,6821.76531,119507.34962
2017,,751319.1653,940.0425499999999,750379.12275,3011.85823,4.09762,304823.11724,183.41557,1356.24144,5112.47897,87860.65176000001
2018,,1144023.38096,1177.16154,1142846.21942,378.2411,8.900830000000001,591882.75385,6238.61381,1724.22139,4216.87071,89484.13614
2019,,1119597.4868100001,3875.3862,1115722.10061,592.53522,0.5473600000000001,429514.14329000004,47878.2343,531.53937,6825.570819999999,106589.28962999998
2020,,914433.6223899999,805.42483,913628.19756,1963.5536100000002,63.08636,168844.76668,109961.32675000001,680.6879700000001,8597.58449,111108.34810999999
2021,,747627.33333,447.84272,747179.49061,595.62609,0.30409,168664.86007,14318.77102,2065.5636299999996,28288.011300000002,90637.6347
,,,,,,,,,,,
Year,,By industry,,,,,,,,,
,,Transporta-tion & storage,Accommo-dation & food services,Information & communica-tion,Financial & insurance,"Real estate
","Professio-nal, scientific & technical services",Support services,Human health & social work services,"Arts, entertain-ment and recreation",Others 
,,,,,,,,,,,
,,,,,,,,,,,
1952,,0,0,0,0,0,0,0,0,0,0
1981,,2.6,11.5,0,754.6,0,10859.9,0,0,0,0
1991,,2997.3,23184.5,0,12209.9,0,13631.5,0,0,0,0
2001,,1283.7561600000001,10674.89813,48451.78895,143580.40478,8349.07862,17051.51094,3529.5553999999997,0,312.55107,154.2149900000286
2011,,1575.58072,2782.57454,11918.167239999999,182359.10322,24327.31807,22742.36496,1939.3797299999999,0,240.58873,14864.008720000002
,,,,,,,,,,,
2012,,5507.311680000001,2818.20609,49882.98549,207769.47852,17515.07954,12397.59252,4295.77008,0.45614,481.63944000000004,5063.9144900000765
2013,,12552.118030000001,3202.98763,7798.06528,130897.64109,48845.71394,15841.15761,19670.26661,2.58477,1716.34032,2413.974560000137
2014,,7651.58726,6193.29173,8593.55506,157135.86907,48927.45625,19815.38924,7980.69948,8.02,2085.66349,590.02529
2015,,2065.35044,6887.41113,15447.29094,120670.51271,48330.48483,31562.430070000002,8873.935739999999,0,2110.3502799999997,432.0510299999596
2016,,2446.08645,3484.9849000000004,18766.42269,122010.02705,31693.875949999998,32740.808500000003,5518.94343,91.22757,1551.85401,691.7840400001814
2017,,4215.88678,9708.615609999999,120881.28533999999,93970.32139,71702.92643,44583.636190000005,2790.69081,441.08256,236.6781,436.1812599999829
2018,,4397.31598,6175.97016,23520.742019999998,324413.35478,45265.347720000005,37866.14251,836.0480299999999,0,5878.88805,1735.8338799999983
2019,,8472.23235,35847.47257,124550.36861,217749.35191000003,28117.02315,103919.22403,2510.5719099999997,9.1227,3479.05711,3011.2024800001095
2020,,2572.9769,13597.67466,36194.08915,278733.69466,47341.79441,130562.54997000001,2302.48658,0,689.10817,1219.8939199999481
2021,,5573.16057,6242.9152699999995,62282.59017,229192.16949,65348.080709999995,41233.64988,30416.88757,0,875.1315500000001,1891.9772200000134
,,,,,,,,,,,
,,,,,,,,,,,
Note: The Standard Industrial Classification is the 8th Amendment.            ,,,,,,,,,,,
"Source: Investment Commission, MOEA",,,,,,,,,,,
