EXTERNAL TRADE     ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,97
,,,,,,,
,,,,,,,
,,,,,,,
Table 53. Value of external trade,,,,,,,
,,,,,,,
,,,,,,,Million
Year,,In N. T. dollars,,,In U. S. dollars,,
,,,,,,,
,,"Total 
exports","Total 
imports","Trade
balance","Total 
exports","Total 
imports","Trade
balance"
,,,,,,,
2007,,8165709,7323389,842320,248669.973,222981.666,25688.307
2008,,8089844,7656495,433349,257754.83,244197.197,13557.633
2009,,6769509,5839813,929696,205201.752,177132.536,28069.216
2010,,8757385,8073600,683785,277352.073,255745.764,21606.309
2011,,9172423,8438760,733664,312182.4,287315.902,24866.499
 ,,,,,,,
2012,,9037337,8185595,851742,305314.663,276466.442,28848.221
2013,,9219045,8224322,994723,310865.636,277384.288,33481.348
2014,,9663422,8502862,1160560,319413.274,281095.615,38317.659
2015,,9013732,7488691,1525041,284433.978,236380.483,48053.495
2016,,8997181,7385919,1611262,279174.656,229199.459,49975.197
2017,,9605762,7834400,1771361,315486.658,257199.59,58287.068
2018,,10069089,8587123,1481966,334007.338,284791.673,49215.665
2019,,10181945,8835408,1346538,329157.32,285651.45,43505.87
2020,,10198736,8460562,1738174,345125.944,286147.643,58978.301
2021,,12501791,10684106,1817685,446378.878,381493.635,64885.243
,,,,,,,
,,,,,,,
Note: All figures are compiled according to the General Trade System.,,,,,,,
Source: Ministry of Finance ,,,,,,,
