98,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,STATISTICAL  YEARBOOK OF
,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,Edited 2022
,,,,,,,,,
Table 54. Trade index,,,,,,,,,
,,,,,,,,,
Reference year: 2016,,,,,,,,,
Year,,Value index,,Quantum index,,Unit value index,,"Net terms
of trade
(D)=(B)/(C)*100","Income terms
of trade
(E)=(A)*(D)/100"
,,,,,,,,,
,,Exports,Imports,"Exports
(A)","Imports
","Exports
(B)","Imports
(C)",,
,,,,,,,,,
2011,,101.98,114.26,91.48,91.22,111.48,125.25,89,81.42
,,,,,,,,,
2012,,100.6,110.89,91.45,89.08,110,124.49,88.36,80.81
2013,,102.45,111.32,95.38,93.17,107.4,119.48,89.89,85.74
2014,,107.41,115.12,99.56,98.07,107.88,117.38,91.9,91.5
2015,,100.18,101.39,97.76,100.58,102.48,100.81,101.66,99.38
2016,,100,100,100,100,100,100,100,100
2017,,106.76,106.07,107.51,104.76,99.31,101.25,98.08,105.45
2018,,111.91,116.26,110.82,107.15,100.99,108.51,93.07,103.14
2019,,113.17,119.63,115.5,110.83,97.98,107.93,90.78,104.85
2020,,113.35,114.55,122.05,116.88,92.88,98.01,94.76,115.66
2021,,138.95,144.66,141.49,135.46,98.2,106.79,91.96,130.12
,,,,,,,,,
,,,,,,,,,
Note: All figures are compiled according to the General Trade System.,,,,,,,,,
Source: Ministry of Finance ,,,,,,,,,
