EXTERNAL TRADE     ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,101
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Table 56. External trade by regions and principal countries,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Million US$ 
Year,,Total,,"Asia
(1)",,,,,,
,,,,,,Hong Kong,,Japan,,Korea
,,,,,,,,,,
,,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports
2007,,248669.973,222981.666,171566.326,151010.398,38274.266,1635.405,16143.838,46710.377,7913.452
2008,,257754.83,244197.197,176996.458,165927.017,33022.17,1352.747,17818.62,47087.528,8792.637
2009,,205201.752,177132.536,145955.06100000002,122746.41,29707.959,1047.864,14606.566,36751.217,7366.426
2010,,277352.073,255745.764,199359.09600000002,176892.941,38233.568,1566.591,18445.058,52910.333,10765.285
2011,,312182.4,287315.902,223752.48299999998,196985.098,40682.21,1585.848,19120.126,53148.667,12485.955
 ,,,,,,,,,,
2012,,305314.663,276466.442,222666.731,192929.495,38490.883,2584.966,19517.937,48341.77,11984.379
2013,,310865.636,277384.288,229500.054,191837.12399999998,41183.242,1585.409,19391.11,43689.85,12223.186
2014,,319413.274,281095.615,235435.467,194081.118,43772.042,1734.798,20129.137,41978.72,12857.318
2015,,284433.978,236380.483,208286.26,160282.304,39116.308,1467.509,19556.522,38865.379,12772.06
2016,,279174.656,229199.459,205959.10400000002,156045.325,38253.914,1330.471,19470.701,40620.288,12531.227
2017,,315486.658,257199.59,235105.479,175661.33299999998,41165.189,1511.687,20573.772,41938.924,14415.736
2018,,334007.338,284791.673,246787.634,195754.016,41400.954,1409.29,22800.957,44151.3,15738.931
2019,,329157.32,285651.45,237161.27300000002,192795.47,40325.208,1062.194,23278.741,44051.896,16917.052
2020,,345125.944,286147.643,252217.38,197037.334,48935.181,1220.676,23398.254,45900.765,15140.525
2021,,446378.878,381493.635,321163.51300000004,263014.649,62974.026,1707.634,29208.338,56102.995,20140.119
,,,,,,,,,,
Year,,Asia (1),,,,,,,Europe,
,,Korea,Singapore,,Malaysia,,Thailand,,,
,,,,,,,,,,
,,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports
2007,,15164.651,10613.104,4777.702,5421.303,6321.242,5262.071,3629.547,28720.781,23995.546
2008,,13190.38,11777.382,4860.039,5541.843,6916.704,4975.33,3262.261,30013.737,24981.957
2009,,10558.046,8698.501,4814.185,4082.371,4700.786,3873.357,2701.14,22641.958,19776.223
2010,,16223.532,12198.128,7675.032,5974.549,7861.085,5355.081,3840.014,29500.837,26934.277
2011,,18186.414,16978.012,8022.298,6923.594,8792.879,6214.005,4404.64,31364.449,30774.592
 ,,,,,,,,,,
2012,,15304.648,20198.583,8171.787,6587.785,7980.532,6665.294,3708.83,28871.609,29506.902
2013,,16162.544,19609.087,8605.822,8243.3,8254.795,6431.935,3793.413,27905.933,31012.117
2014,,15286.049,20678.284,8435.272,8670.203,8952.644,6193.998,4407.97,29070.625,32035.814
2015,,13452.681,17396.074,7170.552,7196.851,6733.747,5769.926,4042.623,25869.495,28491.244
2016,,14649.503,16147.227,7526,7814.116,6288.797,5490.29,3817.594,26123.541,28892.424
2017,,16892.551,17619.613,8711.443,10368.478,7178.476,6381.47,4357.407,28778.05,31315.299
2018,,19524.872,17324.072,8416.36,10601.675,9304.519,6167.705,4581.401,31277.632,34580.412
2019,,17740.668,18183.98,7922.364,9399.84,10365.562,5517.71,4253.398,29770.314,36530.492
2020,,20610.395,19083.955,8989.117,9458.244,9889.4,5289.108,4543.67,28143.108,36796.875
2021,,30638.239,25719.03,12074.434,13327.636,11796.601,7023.799,5959.708,38484.505,47272.71
,,,,,,,,,,
,,,,,,,,,,
Note: All figures are compiled according to the General Trade System.,,,,,,,,,,
       (1) Including Middle East,,,,,,,,,,
Source: Ministry of Finance ,,,,,,,,,,
