108,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,STATISTICAL  YEARBOOK OF
,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,Edited 2022
,,,,,,,
"Table 60. Consumption and production of chemical fertilizers, and agricultural chemicals  ",,,,,,,
,,,,,,,
,,,,,,,"MTs, Thousand NT$"
Year,, Consumption of chemical fertilizers,,Production of chemical fertilizers,,Consumption  of agricultural chemicals ,
,,,,,,,
,,Quantity,Value,Quantity,Value,Quantity (1),"Value
(Million NT$)"
,,,,,,,
1946,,43178,-,-,-,-,-
1981,,1335889,6719290,1502424,6953486,-,-
1991,,1409426,7534122,1525692,6997392,-,-
2001,,1294910,6019850,1381364,5100741,8476,5169
2011,,1008025,10983937,1463569,12646880,8254,5774.048
,,,,,,,
2012,,1010722,12174233,1417442,13800171,9396,6760.192
2013,,999908,11081692,1467269,13231980,9632,6664.076
2014,,972276.93,9453794,1342106.91,10420609,8619,6943.419
2015,,959623,9798378,1195553,10700169,9295,7692.168
2016,,979215.21,8808109,1267509.82,8929201,9504,7643.108
2017,,920965.12,7195467,1607174.56,11440143,10549,8805.019
2018,,917417,7925021,1561066.91,11876350,9175,8113.67
2019,,837411,7637169,1550031,12066704,8983,8225.746
2020,,883781.42,7984798.06,1305969.25,9833114.45,9848,8661.342
2021,,794911,7131296,1395808,10076335,9448,8493.375
,,,,,,,
,,,,,,,
Note: (1) The quantity is statistics on effective composition of agricultural chemicals.,,,,,,,
"Source: 1. Agriculture and Food Agency, COA, Executive Yuan",,,,,,,
"　　　　2. Bureau of Animal and Plant Health Inspection and Quarantine, COA, Executive Yuan",,,,,,,
