116,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,
Table 65. Industrial production value,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Million NT$
Year,,Grand total,,"Mining &
Quarrying",,,Manufacturing　　　　,,,,,
,,,,Total,Crude petroleum and natural gas extraction,"Quarrying of stone, sand, clay & other mining",Total,Food & prepared animal feeds,Beverages,Tobacco products,Textiles mills,Wearing apparel & clothing accessories
,,,,,,,,,,,,
,,,,,,,,,,,,
1981,,-,,-,11121.48,9621.57,2511547.438,268090.516,39431.83,26830.414,257739.709,142869.257
1991,,-,,-,6340.066,4298.328,4878887.271,336762.901,81458.106,32074.79,337013.098,163370.102
2001,,7775653.043,,23738.799,6944.16,16794.639,7321511.736,325018.13,90718.995,26439.577,338350.989,68496.885
2006,,12521962.98,,29461.229,5506.478,23954.751,11962850.909,347315.841,87270.101,28695.916,295205.206,43033.353
2011,,15316190.055,,28229.033,5157.375,23071.658,14606968.993,480244.403,97398.498,46725.94,316306.259,26836.718
,,,,,,,,,,,,
2012,,14849579.868,,29768.904,8143.039,21625.865,14110230.886,484325.107,102773.637,51102.272,295282.111,26063.947
2013,,14804124.452,,27814.488,7068.28,20746.208,14016588.053,485429.106,97065.324,47618.546,300695.156,25443.451
2014,,15364878.349,,30046.331,7108.353,22937.978,14513431.704,504539.767,94838.973,45905.435,302206.863,25490.283
2015,,13802947.319,,25633.828,4566.419,21067.409,13010070.104,491491.876,94818.832,46507.497,298926.617,24528.938
2016,,13145607.403,,21084.475,3003.443,18081.032,12411640.409,501879.194,94272.717,55055.926,278015.668,23189.582
2017,,13910073.463,13910073.463,21169.749,2794.552,18375.197,13184032.03,507010.716,95177.614,69917.007,273348.997,20829.47
2018,,14788891.032,14788891.032,21372.843,2470.308,18902.535,14039084.104,522670.099,92615.843,79408.803,275381.871,18275.996
2019,,13979886.245,13979886.245,21717.345,2294.626,19422.719,13219500.405,540740.286,89583.291,78682.506,261681.65,17799.21
2020,,13495349.015,13495349.015,25259.624,1321.715,23937.909,12727191.776,547651.799,94453.33,80457.219,216037.778,15690.592
2021,,16858627.934,16858627.934,26474.961,1407.018,25067.943,16075551.12,597149.396,92491.621,83707.273,255753.662,17531.56
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Ministry of  Economic  Affairs,,,,,,,,,,,,
