INDUSTRY    ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,121
,,,,,,,,
,,,,,,,,
,,,,,,,,
Table 69. Water resources demand and supply,,,,,,,,
Ⅰ. Total  water  supply,,,,,,,,
,,,,,,,,Million M3
Year,, Grand total, Surface water,,, Ground water and others,"Per capita annual withdrawal
(M3)","Percentage of available resources
(％)"
,,,,,,,,
,,,Total,Intake from rivers,Reservoirs water supply,,,
,,,,,,,,
1971,,15072,-,-,-,-,-,-
1981,,16613,-,-,-,-,-,-
1991,,17675,10536,5107,5429,7139,862.0304524558848,-
2001,,18476.63,12991.98,8198.65,4793.33,5484.65,827.4428497765556,15.75549357264128
2006,,17404.06,11884.87,6720.2,5164.67,5519.19,762.5515067723095,16.77279911936549
,,,,,,,,
2011,,17217.5,11497.08,7383.43,4113.65,5720.42,742.3410282131414,19.618920855943482
2012,,17309.53,11624.08,7517.23,4106.85,5685.45,743.8443063661181,13.724149330562705
2013,,17298.749488098205,11683.809488098204,7418.269488098204,4265.54,5614.94,741.0149506546121,16.458851479261572
2014,,16863.93,11340.2,6995.83,4344.37,5523.73,720.5688347130691,24.596464591692875
2015,,16025.21,10497.7439,7621.7739,2875.97,5527.4661,683.0016936515217,19.361029674849227
2016,,16545.68,11086.0282,6926.998200000001,4159.03,5459.651800000001,703.5940932843652,12.589890636533985
2017,,16644.5389,11200.239099999999,6966.093099999998,4234.146,5444.299800000001,706.6087900747858,15.3
2018,,16713.370599999995,11281.300599999999,7026.8305999999975,4254.47,5432.07,708.791912495632,18.4
2019,,16739.28,11363.500000000004,7263.2400000000025,4100.26,5375.78,709.4109529540714,17.503581275704317
2020,,16675.930000000004,11306.511000000002,7187.301000000002,4119.21,5369.42,707.1411848752399,23.444757796947577
,,,,,,,,
Ⅱ. Total  water consumption,,,,,,,,
,,,,,,,,Million M3
Year,,Grand total,Agriculture consumption,,,,Domestic consumption,Industrial consumption
,,,,,,,,
,,,Total,Irrigation,Livestock,Aquaculture,,
,,,,,,,,
1971,,15072,13737,-,-,-,480,855
1981,,16613,13708,-,-,-,1125,1780
1991,,17675,13554,10332,129,3093,2493,1628
2001,,18476.63,13011.76,11479.26,113.78,1418.72,3725.07,1739.8
2006,,17404.06,12238.22,10549.23,111.09,1577.9,3590.52,1575.32
,,,,,,,,
2011,,17217.5,12435.1,11310.31,74.99,1049.8,3230.58,1551.82
2012,,17309.53,12513.78,11402.68,72.44,1038.66,3185.86,1609.89
2013,,17298.749488098205,12467.799488098204,11384.05,70.4694398705,1013.280048227706,3191.97,1638.98
2014,,16863.93,12031.01,10981.88,66.76,982.37,3197.19,1635.73
2015,,16025.21,11282.43,10335,67,880,3142.23,1600.55
2016,,16545.68,11733.62,10791.9,65.73,875.99,3183.41,1628.65
2017,,16644.5389,11843.26,10912.38,65.96,864.92,3147.1389,1654.14
2018,,16713.3706,11889.99,10982.72,91.85,815.42,3155.8106,1667.57
2019,,16739.28,11882.420000000002,10970.880000000001,91.68,819.86,3185.51,1671.35
2020,,16675.93,11592.47,10680.25,92.38,819.84,3280.27,1803.19
,,,,,,,,
,,,,,,,,
Note: 1. Data do not include Kinmen County and Lienchiang County before 2000.,,,,,,,,
　　   2. Domestic water consumption is only tap-water supplied to families before 1980 and includes water intake by self from 1981.  ,,,,,,,,
"Source: Water Resources Agency, Ministry of Economic Affairs",,,,,,,,
