136,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,STATISTICAL  YEARBOOK OF
,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,Edited 2022
,,,,,,,,
Table 78. Data communication business,,,,,,,,
,,,,,,,,
,,,,,,,,
End of Year,,No. of rental data circuit (Circuits),,,"Subscribers of ISDN
(Households)","No. of internet
accounts
(1,000 Households)",,Individual internet use rate (%)
,,Total,Domestic,International,,,"Broadband
(1,000 Households)",
,,,,,,,,
,,,,,,,,
1986,,54,-,54,-,-,-,-
1991,,30899,30742,157,0,-,-,-
2001,,147022,146557,465,42470,6232,1170,-
2006,,166954,165816,1138,63449,7037,4506,64.4
2011,,172124,170476,1648,123321,6092,5516,72
,,,,,,,,
2012,,161736,160070,1666,118102,6988,6449,73
2013,,144673,142881,1792,109373,7536,7012,76.3
2014,,138384,136511,1873,104324,7945,7437,78
2015,,146442,144112,2330,14423,8112,7617,78
2016,,169004,166806,2198,13753,6205,5792,79.7
2017,,152179,150040,2139,13073,6223.057,5822.894,82.3
2018,,153633,151336,2297,9136,6149.309,5761.934,86.5
2019,,149700,147379,2321,7141,6272.564,5897.268,86.2
2020,,144351,141783,2568,6256,5895.707,5531.048,86.6
2021,,114467,111926,2541,6233,5609.443,5254.183,…
,,,,,,,,
,,,,,,,,
Source: 1. Ministry of Transportation and Communications,,,,,,,,
　　　　2. National Communications Commission,,,,,,,,
　　　　3. National Development Council,,,,,,,,
