"TRANSPORTATION, STORAGE,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,137
COMMUNICATIONS AND TOURISM        ,,,,,,,,
,,,,,,,,
,,,,,,,,
Table 79. Outbound visitors,,,,,,,,
,,,,,,,,
,,,,,,,,Person-times
Year,,Total,By destination of trip,,,,,
,,,,,,,,
,,,Asia,America,Europe,Oceania,Africa,Others
,,,,,,,,
1980,,484901,402244,73754,4830,1300,2773,0
1981,,575537,480673,80901,6777,1779,5407,0
1991,,3366076,3039090,284062,20281,7894,14749,0
2001,,7152877,5970766,673906,246659,131810,-,129736
2011,,9583873,8762214,473259,239062,101614,238,7486
,,,,,,,,
2012,,10239760,9367597,537014,240760,89166,1826,3397
2013,,11052908,10388937,446595,119800,97120,14,442
2014,,11844635,11095664,495479,133677,116342,13,3460
2015,,13182976,12353288,548267,161529,118390,30,1472
2016,,14588923,13539067,623191,258087,157726,5206,5646
2017,,15654579,14253762,697361,496529,184317,16740,5870
2018,,16644684,15152547,710039,537777,224274,16649,3398
2019,,17101335,15757473,676520,363583,228135,27,75597
2020,,2335564,2038522,175736,59773,52488,23,9022
2021,,359977,232736,114339,7139,4833,65,865
,,,,,,,,
,,,,,,,,
Note: The figures are outbound departure of first or main destination.,,,,,,,,
Source: Ministry of Transportation and Communications,,,,,,,,
