"TRANSPORTATION, STORAGE,",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,139
COMMUNICATIONS AND TOURISM        ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 81. Number of foreign visitor arrivals by residence,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Persons,,
Year,,Grand Total,,,,,,,,,
,,,Asia,"Hong Kong,
Macao",Japan,Korea,Malaysia,Singapore,Indonesia,Philippines,Thailand
,,,,,,,,,,,
,,,,,,,,,,,
2007,,2988815,2262176,79548,1164446,222347,140720,204015,95327,80117,89137
2008,,2962536,2213938,78628,1084888,247815,155073,204967,110017,83056,83685
2009,,2770082,2052861,84685,998973,164152,166354,194129,106272,73182,77344
2010,,3235477,2459348,93662,1078459,213863,285038,241008,123409,84464,91657
2011,,3588727,2773717,97222,1292999,239740,307301,299238,155881,98740,101695
,,,,,,,,,,,
2012,,3831635,3001848,109735,1430946,255990,340399,326876,163188,102387,96698
2013,,4095599,3225595,120924,1420092,348125,393699,364348,170877,97175,103357
2014,,4687048,3754200,119405,1633608,524975,438621,375940,182335,134569,104172
2015,,4883047,3919868,119893,1625900,655886,430843,392687,177397,136915,123872
2016,,5703020,4644519,120225,1894172,881245,473683,406947,188295,170022,195020
2017,,6452938,5305939,121881,1897327,1050922,527293,425238,189178,288033,292054
2018,,6845815,5632067,115640,1967526,1015624,525316,426879,210514,416429,319606
2019,,7518268,6223505,116673,2166211,1238870,536856,460264,229482,506820,413502
2020,,1096321,906325,10388,269260,178245,72522,49861,55575,76665,63475
2021,,112410,81290,69,9880,3135,6162,2358,13759,9111,7532
,,,,,,,,,,,
Year,,,,,,,,,Oceania,Africa,Others
,,America,Canada,U.S.A.,Europe,France,Germany,U.K.,,,
,,,,,,,,,,,
,,,,,,,,,,,
2007,,464911,56554,395036,185553,23693,39372,39758,61146,8414,6615
2008,,456494,59605,383747,199952,23956,40129,48176,67930,8334,15888
2009,,436859,59490,365266,196120,24975,39372,44619,65551,7578,11113
2010,,469099,64074,391440,202394,26249,42280,44242,71424,8076,25136
2011,,489442,67049,408054,211422,28909,44506,43278,70018,8714,35414
,,,,,,,,,,,
2012,,491814,70081,406806,217359,31304,44915,42658,74971,8687,36956
2013,,497550,72254,410295,222561,32244,46416,42367,77152,8608,64133
2014,,560904,88234,455226,264408,36249,52418,58103,92576,9788,5172
2015,,583707,90370,475933,273543,38228,54847,58675,90364,10013,5552
2016,,644573,105877,520122,299184,42252,59662,59763,97837,10507,6400
2017,,696934,117345,557282,329489,46721,65843,64719,107909,11540,1127
2018,,727161,128113,575869,349492,52574,65206,70900,121291,11835,3969
2019,,760737,136252,600726,386168,57291,72593,76759,134456,12371,1031
2020,,103114,18651,80263,59188,8922,9296,11780,22456,2468,2770
2021,,12085,1060,9645,16039,1498,1865,2864,1252,878,866
,,,,,,,,,,,
,,,,,,,,,,,
"Source: Tourism Bureau, MOTC",,,,,,,,,,,
