FINANCE AND INSURANCE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,143
,,,,,,,,
,,,,,,,,
,,,,,,,,
Table 83. Consolidated assets and liabilities of monetary financial institutions,,,,,,,,
Ⅰ. Assets,,,,,,,,
,,,,,,,,Million NT$
End of year,,"Assets(net) =
lia.& equity (net)","Foreign 
assets
(1)",Loans and discounts (2),,,,Portfolio investments in entities excluding financial institutions (3)
,,,,,,,,
,,,,Subtotal,"Government 
agencies","Government 
enterprises","Private 
sector",Subtotal
,,,,,,,,
1997,,18243191,3471583,12510156,1396040,395458,10718658,1841874
2001,,22940262,6003051,14036644,2134732,460515,11441397,2452640
2006,,31927680,11227432,17598943,1611281,525391,15462271,2693911
2010,,37807420,14590580,19852506,1525105,791888,17535513,3045296
2011,,39918536,15372443,20960771,1553540,824558,18582673,3259381
,,,,,,,,
2012,,41496610,15521003,21650271,1612117,693934,19344220,3971878
2013,,44352874,17174208,22404430,1460375,704415,20239640,4405861
2014,,47673680,19048393,23472558,1445684,632234,21394640,4735074
2015,,50317419,20331688,24276983,1376404,610739,22289840,5211569
2016,,51762925,20582106,25122090,1327585,515184,23279321,5505143
2017,,53113157,20347837,26298188,1255487,499143,24543558,5835205
2018,,55384931,20762282,27659920,1236328,554439,25869153,6243620
2019,,57961323,21580153,29011025,1242052,539024,27229949,6634505
2020,,61665535,22883137,31042311,1365672,415870,29260769,7042713
2021,,65200175,23165951,33491968,1391925,528161,31571882,7786620
,,,,,,,,
End of year,,"Portfolio investments in entities 
excluding financial institutions (3)",,,"Portfolio investments in financial institutions
(3)(4)(5)",Claims on life insurance companies etc. ,Real estate investments,Cash in vaults
,,,,,,,,
,,"Government 
agencies","Government 
enterprises","Private 
enterprises",,,,
,,,,,,,,
1997,,648132,45957,1147785,169184,30411,46036,173947
2001,,1011687,58838,1382115,175385,59666,45623,167253
2006,,1442945,123333,1127633,204614,1708,1,201071
2010,,2067752,187003,790541,110064,2,1,208971
2011,,2199313,219252,840816,112405,270,1,213265
,,,,,,,,
2012,,2503889,370148,1097841,119122,19,0,234317
2013,,2718228,401312,1286321,142032,2,0,226341
2014,,2955462,420733,1358879,171863,2,0,245790
2015,,3255789,461798,1493982,244487,13501,0,239191
2016,,3533556,453475,1518112,295835,17,0,257734
2017,,3571638,502684,1760883,380869,176,0,250882
2018,,3855518,524858,1863244,464418,1,0,254690
2019,,3942277,588667,2103561,402778,1,0,332861
2020,,3876872,716515,2449326,433089,0,0,264285
2021,,3985409,739703,3061508,462767,0,0,292869
,,,,,,,,
,,,,,,,,
Note: All transactions between institutions within the same financial subsector as well as their other assets and other liabilities are netted out  in the consolidation ,,,,,,,,
          process and are shown in other items (net).,,,,,,,,
"        (1) Beginning Jan. 2013, the assets in and liabilities to its (own) OBU are netted. (2) Beginning Jan. 2004, includes data for securities acquired under reverse ",,,,,,,,
"         reverse repurchase agreements. (3) Beginning Jan. 2006, portfolio investments are measured at fair values instead of original costs. (4) Beginning Jan. 2010, ",,,,,,,,
"         portfolio investments of securities of financial institutions include structured products issued by banks. (5) Beginning Sep. 2014, includes investments in  ",,,,,,,,
"         RMB-denominated bonds issued by Taipei branches of Bank of China and China Construction Bank, respectively.",,,,,,,,
Source: Central Bank,,,,,,,,
