FINANCE AND INSURANCE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,147
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table 85. Interest rates and monetary market,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,％
Year,,"Discount rate
 (End of period)",,"Base lending rates
(End of period)
(1)",,Weighted averages of overnight interest rates,,"CP rates
(2)",,"Monetary aggregates
(End of period)
(100 million NT$)",,,
,,,,,,,,,,,,,
,,,,,,,,,,M1B,,"M2
(3)",
,,,,,,,,,,,,,
2007,,3.375,,4.313,,1.998,,1.9,,82199.77,,258831.04,
2008,,2,,4.205,,2.014,,1.92,,81537.04,,277554.75,
2009,,1.25,,2.563,,0.109,,0.24,,105116,,293556,
2010,,1.625,,2.676,,0.185,,0.38,,114571,,309544,
2011,,1.875,,2.882,,0.341,,0.7,,118302,,324519,
,,,,,,,,,,,,,
2012,,1.875,,2.883,,0.428,,0.79,,124184,,335744,
2013,,1.875,,2.882,,0.386,,0.69,,134708,,355189,
2014,,1.875,,2.883,,0.387,,0.62,,143101,,376968,
2015,,1.625,,2.829,,0.353,,0.58,,152926,,398840,
2016,,1.375,,2.631,,0.193,,0.39,,161777,,413018,
2017,,1.375,,2.632,,0.178,,0.44,,167414,,427702,
2018,,1.375,,2.631,,0.183,,0.49,,177160,,439052,
2019,,1.375,,2.631,,0.182,,0.55,,190606,,458918,
2020,,1.125,,2.442,,0.102,,0.39,,222803,,501879,
2021,,1.125,,2.442,,0.081,,0.26,,249735,,538752,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Note: (1) Prior to Jan. 2003, the figures represent prime lending rates. ",,,,,,,,,,,,,
　　   (2) It is 31-90 days CP rates in secondary market.              ,,,,,,,,,,,,,
　　   (3) M2 has included the net present value of money market mutual funds since Oct. 2004. ,,,,,,,,,,,,,
Source: Central Bank,,,,,,,,,,,,,
