ADMINISTRATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,163
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Table 94. Number of all civil servants,,,,,,,,,,,,
Ⅰ. By agency type,,,,,,,,,,,,
,,,,,,,,,,,,Persons
End of Year,,Grand total,,Administrative agency,,,,,,,,
,,,,Total,Central govern-ment,Local county (city),New Taipei City ,Taipei City ,Taoyuan City,Taichung City,Tainan City,Kaohsiung City
,,,,,,,,,,,,
,,,,,,,,,,,,
1971,,302019,,111760,25862,74270,-,10966,-,-,-,0
1981,,442991,,152527,40043,87931,-,17281,-,-,-,6464
1991,,574658,,213897,77911,100412,-,24593,-,-,-,10181
2001,,395523,,217211,91806,93820,-,21546,-,-,-,9048
2011,,343323,,227071,92518,56525,16424,20466,-,13285,10323,16346
,,,,,,,,,,,,
2012,,343861,,228913,92821,57201,16564,20574,-,13749,10310,16526
2013,,346059,,231317,93013,57435,18250,20611,-,13790,10332,16703
2014,,347816,,233951,94999,48508,18509,20519,8888,14121,10462,16727
2015,,347552,,234517,94923,48597,18508,20414,9585,14290,10499,16420
2016,,347572,,235591,95059,48728,18473,20483,10101,14309,10546,16607
2017,,349676,,237834,94498,49691,18747,20856,10340,14669,10792,16926
2018,,356878,,248805,102014,51054,18800,21296,10705,15187,11052,17315
2019,,361421,,253387,103674,51783,19161,21538,11498,15593,11154,17550
2020,,366494,,257509,106364,52047,19321,21744,12112,15733,11191,17518
2021,,363197,,255058,105532,51729,18814,21131,12218,15661,11092,17392
,,,,,,,,,,,,
End of Year,,,Public enterprise organization,,,,,,,,,
,,Kinmen & Lienchiang County,Total,Central govern-ment,Local county (city),New Taipei City ,Taipei City ,Taoyuan City,Taichung City,Tainan City,Kaoh-siung City,Kinmen & Lienchiang County
,,,,,,,,,,,,
,,,,,,,,,,,,
1971,,662,71959,35432,34698,-,1689,-,-,-,-,140
1981,,808,134917,66685,65187,-,2705,-,-,-,165,175
1991,,800,170841,90311,76144,-,3412,-,-,-,801,173
2001,,991,124581,122137,113,-,2041,-,-,-,124,166
2011,,1184,71035,68243,80,-,2528,-,-,-,88,96
,,,,,,,,,,,,
2012,,1168,69137,68223,73,-,657,-,-,-,88,96
2013,,1183,68346,67475,68,-,645,-,-,-,64,94
2014,,1218,66576,65767,65,-,650,-,-,-,9,85
2015,,1281,65814,64973,64,-,679,-,-,-,9,89
2016,,1285,64972,64106,64,-,709,-,-,-,8,85
2017,,1315,64756,63907,66,-,697,-,-,-,8,78
2018,,1382,59779,58917,55,-,715,-,-,-,9,83
2019,,1436,60270,59396,60,0,724,0,0,0,9,81
2020,,1479,60642,59758,58,0,736,0,0,0,9,81
2021,,1489,59678,58796,58,0,728,0,0,0,9,87
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Ministry Of Civil Service,,,,,,,,,,,,
